"Plot-Titel: SOS 1 West March 2026"
"Anz.","Datum Zeit, GMT+01:00","Wassergehalt, m³/m³ (LGR S/N: 22429151, SEN S/N: 22382326, LBL: Soil moisture 10cm)","Temp., °C (LGR S/N: 22429151_duplicate, SEN S/N: 22332514, LBL: Temperature)","RH, % (LGR S/N: 22429151_duplicate, SEN S/N: 22332514, LBL: Air humidity)","Wassergehalt, m³/m³ (LGR S/N: 22429151_duplicate, SEN S/N: 22382324, LBL: Soil moisture 5cm)","Wassergehalt, m³/m³ (LGR S/N: 22429151_duplicate, SEN S/N: 22382324, LBL: Soil moisture 5cm)","Windrichtung, ø (LGR S/N: 22429151_duplicate, SEN S/N: 22407863, LBL: Wind direction)","Windgeschwindigkeit, m/s (LGR S/N: 22429151_duplicate, SEN S/N: 22427869, LBL: Wind speed)","Böengeschwindigkeit, m/s (LGR S/N: 22429151_duplicate, SEN S/N: 22427869, LBL: Gust speed)"
1,03.16.26 01:46:53 PM,0.0228,33.043,34.090,0.0301,0.0301,251.3,5.03,8.05
2,03.16.26 01:47:53 PM,0.0228,32.657,34.911,0.0301,0.0301,238.7,5.03,7.05
3,03.16.26 01:48:53 PM,0.0228,32.743,34.765,0.0301,0.0301,261.1,5.54,7.05
4,03.16.26 01:49:53 PM,0.0228,32.636,34.846,0.0301,0.0301,238.7,5.54,7.05
5,03.16.26 01:50:53 PM,0.0228,32.443,35.184,0.0301,0.0301,230.2,3.52,5.03
6,03.16.26 01:51:53 PM,0.0228,32.636,34.946,0.0301,0.0301,256.9,4.53,5.54
7,03.16.26 01:52:53 PM,0.0228,32.765,34.737,0.0301,0.0301,254.1,4.03,5.03
8,03.16.26 01:53:53 PM,0.0235,32.786,34.765,0.0301,0.0301,268.1,6.54,8.05
9,03.16.26 01:54:53 PM,0.0228,32.593,35.024,0.0301,0.0301,251.3,5.03,7.05
10,03.16.26 01:55:53 PM,0.0228,32.186,35.692,0.0301,0.0301,252.7,4.03,6.04
11,03.16.26 01:56:53 PM,0.0228,32.614,34.824,0.0301,0.0301,262.5,5.03,6.54
12,03.16.26 01:57:53 PM,0.0235,32.593,34.792,0.0301,0.0301,262.5,5.54,7.55
13,03.16.26 01:58:53 PM,0.0235,32.743,34.430,0.0315,0.0315,249.9,4.53,6.04
14,03.16.26 01:59:53 PM,0.0235,32.679,34.685,0.0315,0.0315,259.7,5.03,6.54
15,03.16.26 02:00:53 PM,0.0235,32.722,34.536,0.0315,0.0315,262.5,4.53,6.54
16,03.16.26 02:01:53 PM,0.0235,32.700,34.672,0.0315,0.0315,244.3,4.53,6.04
17,03.16.26 02:02:53 PM,0.0235,32.700,34.453,0.0315,0.0315,256.9,5.03,7.05
18,03.16.26 02:03:53 PM,0.0235,32.743,34.321,0.0315,0.0315,255.5,4.03,5.03
19,03.16.26 02:04:53 PM,0.0235,32.829,34.511,0.0315,0.0315,251.3,4.53,6.04
20,03.16.26 02:05:53 PM,0.0235,32.314,35.463,0.0315,0.0315,228.8,4.03,6.54
21,03.16.26 02:06:53 PM,0.0235,32.078,35.949,0.0308,0.0308,217.6,4.03,5.54
22,03.16.26 02:07:53 PM,0.0235,32.186,36.045,0.0315,0.0315,258.3,4.53,7.05
23,03.16.26 02:08:53 PM,0.0235,32.529,35.566,0.0315,0.0315,254.1,6.54,8.56
24,03.16.26 02:09:53 PM,0.0235,32.293,36.042,0.0315,0.0315,255.5,7.05,9.06
25,03.16.26 02:10:53 PM,0.0235,31.778,36.875,0.0308,0.0308,256.9,6.04,7.55
26,03.16.26 02:11:53 PM,0.0235,31.671,36.994,0.0308,0.0308,261.1,5.54,7.05
27,03.16.26 02:12:53 PM,0.0235,31.778,36.751,0.0308,0.0308,266.7,6.04,8.56
28,03.16.26 02:13:53 PM,0.0228,31.885,36.603,0.0308,0.0308,272.4,5.03,7.05
29,03.16.26 02:14:53 PM,0.0235,31.992,36.365,0.0308,0.0308,263.9,6.04,8.05
30,03.16.26 02:15:53 PM,0.0235,31.950,36.466,0.0315,0.0315,262.5,5.03,6.54
31,03.16.26 02:16:53 PM,0.0235,32.271,35.784,0.0308,0.0308,262.5,5.54,7.55
32,03.16.26 02:17:53 PM,0.0235,32.078,35.827,0.0315,0.0315,259.7,5.54,8.05
33,03.16.26 02:18:53 PM,0.0235,31.864,36.065,0.0315,0.0315,248.5,4.53,6.54
34,03.16.26 02:19:53 PM,0.0235,31.456,36.701,0.0308,0.0308,233.1,5.54,7.05
35,03.16.26 02:20:53 PM,0.0235,31.328,35.950,0.0308,0.0308,240.1,5.03,8.56
36,03.16.26 02:21:53 PM,0.0235,31.671,35.671,0.0308,0.0308,258.3,7.05,8.56
37,03.16.26 02:22:53 PM,0.0235,31.564,35.734,0.0308,0.0308,251.3,6.04,7.55
38,03.16.26 02:23:53 PM,0.0235,31.521,35.326,0.0308,0.0308,255.5,6.04,8.05
39,03.16.26 02:24:53 PM,0.0235,31.499,35.131,0.0308,0.0308,249.9,4.03,6.04
40,03.16.26 02:25:53 PM,0.0235,32.014,34.229,0.0308,0.0308,261.1,5.03,8.56
41,03.16.26 02:26:53 PM,0.0235,31.692,34.421,0.0308,0.0308,251.3,5.54,7.05
42,03.16.26 02:27:53 PM,0.0235,31.585,34.243,0.0308,0.0308,254.1,5.03,6.54
43,03.16.26 02:28:53 PM,0.0235,31.328,34.621,0.0308,0.0308,249.9,5.54,7.05
44,03.16.26 02:29:53 PM,0.0235,31.349,34.527,0.0308,0.0308,249.9,4.03,6.04
45,03.16.26 02:30:53 PM,0.0243,31.177,34.658,0.0308,0.0308,242.9,4.03,7.05
46,03.16.26 02:31:53 PM,0.0235,31.478,33.976,0.0308,0.0308,249.9,4.53,6.04
47,03.16.26 02:32:53 PM,0.0235,32.035,33.030,0.0308,0.0308,262.5,5.54,7.05
48,03.16.26 02:33:53 PM,0.0235,32.357,32.428,0.0308,0.0308,261.1,5.03,7.05
49,03.16.26 02:34:53 PM,0.0235,32.164,32.618,0.0308,0.0308,265.3,5.54,8.56
50,03.16.26 02:35:53 PM,0.0235,32.228,32.525,0.0308,0.0308,258.3,5.03,6.54
51,03.16.26 02:36:53 PM,0.0235,31.928,32.966,0.0308,0.0308,261.1,4.53,6.04
52,03.16.26 02:37:53 PM,0.0235,31.628,33.454,0.0308,0.0308,261.1,5.54,7.55
53,03.16.26 02:38:53 PM,0.0235,31.757,33.051,0.0308,0.0308,248.5,4.53,6.04
54,03.16.26 02:39:53 PM,0.0235,31.242,34.137,0.0308,0.0308,240.1,4.03,6.04
55,03.16.26 02:40:53 PM,0.0235,31.714,33.350,0.0308,0.0308,256.9,4.53,6.04
56,03.16.26 02:41:53 PM,0.0235,31.821,33.133,0.0308,0.0308,252.7,4.53,5.54
57,03.16.26 02:42:53 PM,0.0235,31.714,33.257,0.0308,0.0308,256.9,5.54,8.05
58,03.16.26 02:43:53 PM,0.0235,31.456,33.765,0.0308,0.0308,265.3,5.54,7.05
59,03.16.26 02:44:53 PM,0.0235,31.499,33.474,0.0308,0.0308,271.0,5.03,6.54
60,03.16.26 02:45:53 PM,0.0235,31.092,33.948,0.0308,0.0308,262.5,5.54,7.55
61,03.16.26 02:46:53 PM,0.0235,30.984,34.220,0.0308,0.0308,252.7,4.53,6.54
62,03.16.26 02:47:53 PM,0.0235,31.135,33.785,0.0308,0.0308,261.1,4.53,6.04
63,03.16.26 02:48:53 PM,0.0235,31.413,33.069,0.0308,0.0308,262.5,4.03,6.04
64,03.16.26 02:49:53 PM,0.0235,31.564,32.873,0.0308,0.0308,269.6,4.53,6.04
65,03.16.26 02:50:53 PM,0.0235,31.349,33.057,0.0308,0.0308,280.8,4.53,6.04
66,03.16.26 02:51:53 PM,0.0235,31.177,32.969,0.0308,0.0308,273.8,4.53,6.54
67,03.16.26 02:52:53 PM,0.0235,31.371,32.737,0.0308,0.0308,279.4,4.03,5.54
68,03.16.26 02:53:53 PM,0.0243,31.328,33.120,0.0308,0.0308,262.5,4.53,6.04
69,03.16.26 02:54:53 PM,0.0243,31.435,32.682,0.0308,0.0308,262.5,6.04,7.55
70,03.16.26 02:55:53 PM,0.0235,31.628,32.136,0.0308,0.0308,251.3,5.03,6.04
71,03.16.26 02:56:53 PM,0.0243,31.306,32.732,0.0308,0.0308,238.7,4.03,5.03
72,03.16.26 02:57:53 PM,0.0235,31.285,32.741,0.0308,0.0308,249.9,5.03,6.04
73,03.16.26 02:58:53 PM,0.0235,30.706,33.643,0.0308,0.0308,233.1,5.03,6.04
74,03.16.26 02:59:53 PM,0.0243,30.770,33.431,0.0308,0.0308,249.9,3.52,5.03
75,03.16.26 03:00:53 PM,0.0243,31.263,32.538,0.0308,0.0308,256.9,4.03,6.54
76,03.16.26 03:01:53 PM,0.0243,31.285,32.247,0.0308,0.0308,258.3,4.53,6.54
77,03.16.26 03:02:53 PM,0.0243,31.306,32.291,0.0308,0.0308,249.9,4.53,6.04
78,03.16.26 03:03:53 PM,0.0243,30.963,32.796,0.0308,0.0308,230.2,3.52,5.03
79,03.16.26 03:04:53 PM,0.0235,31.092,32.323,0.0308,0.0308,266.7,3.52,4.53
80,03.16.26 03:05:53 PM,0.0243,31.306,31.926,0.0308,0.0308,263.9,3.52,5.03
81,03.16.26 03:06:53 PM,0.0243,31.542,31.467,0.0301,0.0301,262.5,3.52,5.54
82,03.16.26 03:07:53 PM,0.0243,31.628,31.316,0.0308,0.0308,256.9,3.02,5.03
83,03.16.26 03:08:53 PM,0.0243,31.671,31.194,0.0308,0.0308,269.6,2.52,3.52
84,03.16.26 03:09:53 PM,0.0243,31.821,30.924,0.0308,0.0308,254.1,5.03,7.55
85,03.16.26 03:10:53 PM,0.0235,32.057,30.634,0.0308,0.0308,255.5,5.54,6.54
86,03.16.26 03:11:53 PM,0.0243,31.950,30.439,0.0308,0.0308,231.6,3.52,5.03
87,03.16.26 03:12:53 PM,0.0243,31.714,30.370,0.0301,0.0301,242.9,3.52,6.04
88,03.16.26 03:13:53 PM,0.0243,31.478,31.290,0.0301,0.0301,237.3,3.02,4.53
89,03.16.26 03:14:53 PM,0.0243,31.521,31.153,0.0308,0.0308,263.9,4.53,6.04
90,03.16.26 03:15:53 PM,0.0243,31.735,31.028,0.0308,0.0308,252.7,4.53,5.54
91,03.16.26 03:16:53 PM,0.0243,31.606,31.135,0.0308,0.0308,265.3,3.52,5.54
92,03.16.26 03:17:53 PM,0.0243,31.606,31.069,0.0301,0.0301,261.1,3.02,5.54
93,03.16.26 03:18:53 PM,0.0243,31.649,30.924,0.0308,0.0308,261.1,4.53,6.04
94,03.16.26 03:19:53 PM,0.0243,31.735,30.686,0.0301,0.0301,255.5,5.54,7.55
95,03.16.26 03:20:53 PM,0.0243,31.735,30.657,0.0301,0.0301,251.3,4.53,7.05
96,03.16.26 03:21:53 PM,0.0243,31.649,30.739,0.0301,0.0301,251.3,5.54,8.05
97,03.16.26 03:22:53 PM,0.0243,31.585,30.736,0.0301,0.0301,261.1,6.04,7.55
98,03.16.26 03:23:53 PM,0.0243,31.392,31.160,0.0301,0.0301,262.5,5.03,7.05
99,03.16.26 03:24:53 PM,0.0243,31.564,30.748,0.0301,0.0301,249.9,4.53,6.04
100,03.16.26 03:25:53 PM,0.0243,31.499,30.777,0.0301,0.0301,247.1,6.04,7.05
101,03.16.26 03:26:53 PM,0.0243,31.606,30.556,0.0301,0.0301,258.3,5.03,6.54
102,03.16.26 03:27:53 PM,0.0243,31.671,30.153,0.0301,0.0301,265.3,5.54,8.05
103,03.16.26 03:28:53 PM,0.0243,31.456,30.414,0.0301,0.0301,249.9,6.04,8.56
104,03.16.26 03:29:53 PM,0.0243,31.220,31.032,0.0301,0.0301,240.1,5.03,6.54
105,03.16.26 03:30:53 PM,0.0243,30.942,31.414,0.0301,0.0301,234.5,5.03,6.04
106,03.16.26 03:31:53 PM,0.0243,30.963,31.151,0.0301,0.0301,248.5,5.03,7.05
107,03.16.26 03:32:53 PM,0.0243,30.813,31.354,0.0301,0.0301,230.2,5.03,6.04
108,03.16.26 03:33:53 PM,0.0243,30.856,31.414,0.0301,0.0301,231.6,3.52,4.53
109,03.16.26 03:34:53 PM,0.0243,31.070,30.986,0.0301,0.0301,242.9,5.54,6.54
110,03.16.26 03:35:53 PM,0.0243,30.920,31.289,0.0301,0.0301,244.3,4.53,7.05
111,03.16.26 03:36:53 PM,0.0243,31.242,30.895,0.0301,0.0301,255.5,5.03,7.05
112,03.16.26 03:37:53 PM,0.0243,31.113,31.116,0.0301,0.0301,252.7,5.54,7.05
113,03.16.26 03:38:53 PM,0.0243,31.092,31.130,0.0301,0.0301,247.1,4.53,6.04
114,03.16.26 03:39:53 PM,0.0243,30.963,31.321,0.0301,0.0301,245.7,4.03,5.03
115,03.16.26 03:40:53 PM,0.0243,30.813,31.482,0.0301,0.0301,230.2,3.52,6.04
116,03.16.26 03:41:53 PM,0.0243,31.049,31.115,0.0301,0.0301,244.3,3.52,4.53
117,03.16.26 03:42:53 PM,0.0243,31.242,30.970,0.0301,0.0301,234.5,2.52,4.03
118,03.16.26 03:43:53 PM,0.0243,31.349,31.057,0.0301,0.0301,230.2,4.03,6.04
119,03.16.26 03:44:53 PM,0.0243,31.092,31.595,0.0301,0.0301,241.5,5.03,6.04
120,03.16.26 03:45:53 PM,0.0243,30.770,32.284,0.0301,0.0301,241.5,5.03,6.54
121,03.16.26 03:46:53 PM,0.0243,30.620,32.471,0.0301,0.0301,237.3,4.53,6.04
122,03.16.26 03:47:53 PM,0.0243,30.727,32.256,0.0301,0.0301,241.5,4.53,6.54
123,03.16.26 03:48:53 PM,0.0243,30.749,32.467,0.0301,0.0301,235.9,4.03,5.54
124,03.16.26 03:49:53 PM,0.0243,30.749,32.517,0.0293,0.0293,217.6,4.03,6.04
125,03.16.26 03:50:53 PM,0.0243,30.877,32.277,0.0301,0.0301,227.4,3.52,5.03
126,03.16.26 03:51:53 PM,0.0243,30.877,32.384,0.0301,0.0301,233.1,3.52,5.54
127,03.16.26 03:52:53 PM,0.0243,30.448,33.097,0.0293,0.0293,213.4,4.53,6.04
128,03.16.26 03:53:53 PM,0.0243,30.405,33.321,0.0301,0.0301,238.7,4.53,5.54
129,03.16.26 03:54:53 PM,0.0243,30.384,33.289,0.0301,0.0301,249.9,5.03,6.54
130,03.16.26 03:55:53 PM,0.0243,30.491,33.202,0.0293,0.0293,244.3,5.03,6.04
131,03.16.26 03:56:53 PM,0.0243,30.534,32.847,0.0293,0.0293,242.9,4.53,5.54
132,03.16.26 03:57:53 PM,0.0243,30.534,32.731,0.0293,0.0293,241.5,4.03,5.03
133,03.16.26 03:58:53 PM,0.0243,30.749,32.699,0.0293,0.0293,258.3,4.53,5.54
134,03.16.26 03:59:53 PM,0.0243,30.491,33.294,0.0293,0.0293,245.7,5.03,6.54
135,03.16.26 04:00:53 PM,0.0243,30.341,33.561,0.0293,0.0293,237.3,4.03,6.54
136,03.16.26 04:01:53 PM,0.0243,30.255,33.465,0.0293,0.0293,245.7,4.03,5.54
137,03.16.26 04:02:53 PM,0.0243,30.470,32.987,0.0293,0.0293,247.1,4.53,6.04
138,03.16.26 04:03:53 PM,0.0250,30.062,33.771,0.0293,0.0293,224.6,5.03,6.54
139,03.16.26 04:04:53 PM,0.0243,29.826,34.476,0.0293,0.0293,221.8,4.03,5.03
140,03.16.26 04:05:53 PM,0.0243,29.869,34.795,0.0293,0.0293,240.1,4.53,6.04
141,03.16.26 04:06:53 PM,0.0243,29.891,34.682,0.0293,0.0293,244.3,4.03,6.54
142,03.16.26 04:07:53 PM,0.0250,29.848,34.846,0.0293,0.0293,248.5,4.03,5.54
143,03.16.26 04:08:53 PM,0.0250,30.062,34.627,0.0293,0.0293,235.9,3.52,4.53
144,03.16.26 04:09:53 PM,0.0250,30.084,34.557,0.0293,0.0293,241.5,4.03,5.54
145,03.16.26 04:10:53 PM,0.0243,29.912,34.952,0.0293,0.0293,241.5,5.03,6.54
146,03.16.26 04:11:53 PM,0.0250,29.762,35.171,0.0286,0.0286,242.9,3.52,5.03
147,03.16.26 04:12:53 PM,0.0250,30.041,34.640,0.0293,0.0293,241.5,3.52,5.54
148,03.16.26 04:13:53 PM,0.0243,30.234,34.392,0.0293,0.0293,248.5,2.52,4.03
149,03.16.26 04:14:53 PM,0.0243,30.212,34.328,0.0293,0.0293,269.6,3.52,5.03
150,03.16.26 04:15:53 PM,0.0243,30.491,33.561,0.0293,0.0293,268.1,4.03,5.54
151,03.16.26 04:16:53 PM,0.0243,30.298,34.287,0.0293,0.0293,242.9,4.53,5.54
152,03.16.26 04:17:53 PM,0.0243,30.019,34.353,0.0286,0.0286,226.0,3.02,4.53
153,03.16.26 04:18:53 PM,0.0243,30.105,34.319,0.0293,0.0293,234.5,2.01,3.52
154,03.16.26 04:19:53 PM,0.0243,30.212,33.811,0.0286,0.0286,255.5,4.03,6.54
155,03.16.26 04:20:53 PM,0.0243,29.912,34.342,0.0286,0.0286,230.2,4.03,5.54
156,03.16.26 04:21:53 PM,0.0250,29.698,34.626,0.0286,0.0286,227.4,4.03,6.04
157,03.16.26 04:22:53 PM,0.0243,29.826,34.577,0.0286,0.0286,244.3,3.52,5.03
158,03.16.26 04:23:53 PM,0.0250,29.655,34.517,0.0286,0.0286,241.5,4.03,5.54
159,03.16.26 04:24:53 PM,0.0243,29.805,33.161,0.0286,0.0286,247.1,3.52,5.54
160,03.16.26 04:25:53 PM,0.0243,29.848,33.198,0.0286,0.0286,251.3,5.03,6.54
161,03.16.26 04:26:53 PM,0.0243,29.762,33.016,0.0286,0.0286,247.1,4.03,6.04
162,03.16.26 04:27:53 PM,0.0250,29.955,33.559,0.0286,0.0286,251.3,4.03,5.54
163,03.16.26 04:28:53 PM,0.0250,29.848,33.816,0.0286,0.0286,245.7,3.52,5.03
164,03.16.26 04:29:53 PM,0.0243,29.612,34.060,0.0286,0.0286,228.8,4.03,5.54
165,03.16.26 04:30:53 PM,0.0243,29.719,33.803,0.0286,0.0286,256.9,3.52,4.03
166,03.16.26 04:31:53 PM,0.0243,29.976,33.158,0.0286,0.0286,252.7,4.53,6.04
167,03.16.26 04:32:53 PM,0.0243,29.891,33.680,0.0286,0.0286,242.9,3.02,5.03
168,03.16.26 04:33:53 PM,0.0250,30.062,33.353,0.0286,0.0286,240.1,2.52,3.52
169,03.16.26 04:34:53 PM,0.0243,30.320,32.663,0.0286,0.0286,254.1,3.52,4.53
170,03.16.26 04:35:53 PM,0.0243,30.320,32.677,0.0286,0.0286,251.3,3.52,4.53
171,03.16.26 04:36:53 PM,0.0243,30.127,32.645,0.0286,0.0286,233.1,4.03,6.04
172,03.16.26 04:37:53 PM,0.0250,29.826,32.515,0.0286,0.0286,238.7,4.03,6.04
173,03.16.26 04:38:53 PM,0.0250,29.912,32.831,0.0286,0.0286,254.1,2.52,3.52
174,03.16.26 04:39:53 PM,0.0243,30.019,33.162,0.0286,0.0286,231.6,2.52,4.03
175,03.16.26 04:40:53 PM,0.0243,30.169,33.021,0.0286,0.0286,265.3,3.52,5.03
176,03.16.26 04:41:53 PM,0.0243,30.127,32.895,0.0286,0.0286,255.5,3.52,5.03
177,03.16.26 04:42:53 PM,0.0243,30.191,32.494,0.0286,0.0286,248.5,3.52,4.53
178,03.16.26 04:43:53 PM,0.0243,30.212,32.456,0.0286,0.0286,255.5,3.52,4.53
179,03.16.26 04:44:53 PM,0.0243,30.405,32.036,0.0286,0.0286,241.5,2.52,3.52
180,03.16.26 04:45:53 PM,0.0243,30.427,31.757,0.0286,0.0286,256.9,3.02,5.54
181,03.16.26 04:46:53 PM,0.0243,30.212,32.174,0.0286,0.0286,254.1,3.52,5.03
182,03.16.26 04:47:53 PM,0.0243,30.362,31.971,0.0279,0.0279,258.3,2.52,4.03
183,03.16.26 04:48:53 PM,0.0243,30.191,32.076,0.0286,0.0286,248.5,3.52,4.53
184,03.16.26 04:49:53 PM,0.0243,29.955,32.586,0.0286,0.0286,258.3,4.03,5.03
185,03.16.26 04:50:53 PM,0.0243,29.762,33.053,0.0286,0.0286,262.5,1.51,4.53
186,03.16.26 04:51:53 PM,0.0243,29.891,32.753,0.0286,0.0286,261.1,1.01,2.01
187,03.16.26 04:52:53 PM,0.0243,30.148,32.204,0.0279,0.0279,255.5,2.01,3.02
188,03.16.26 04:53:53 PM,0.0243,30.320,31.876,0.0279,0.0279,238.7,2.52,3.52
189,03.16.26 04:54:53 PM,0.0243,30.105,31.482,0.0279,0.0279,227.4,3.52,4.53
190,03.16.26 04:55:53 PM,0.0243,29.869,31.991,0.0279,0.0279,231.6,2.52,4.03
191,03.16.26 04:56:53 PM,0.0243,29.826,31.666,0.0279,0.0279,240.1,2.52,3.52
192,03.16.26 04:57:53 PM,0.0243,29.698,31.885,0.0279,0.0279,240.1,2.52,4.53
193,03.16.26 04:58:53 PM,0.0243,29.633,32.224,0.0279,0.0279,227.4,2.52,3.52
194,03.16.26 04:59:53 PM,0.0243,29.505,32.563,0.0279,0.0279,227.4,3.52,4.53
195,03.16.26 05:00:53 PM,0.0250,29.569,32.508,0.0279,0.0279,242.9,2.01,3.02
196,03.16.26 05:01:53 PM,0.0243,29.590,32.236,0.0279,0.0279,210.6,2.01,3.52
197,03.16.26 05:02:53 PM,0.0243,29.419,32.561,0.0279,0.0279,198.0,2.01,3.52
198,03.16.26 05:03:53 PM,0.0243,29.269,32.964,0.0279,0.0279,188.1,2.01,3.02
199,03.16.26 05:04:53 PM,0.0243,29.483,32.732,0.0279,0.0279,205.0,1.51,3.52
200,03.16.26 05:05:53 PM,0.0243,29.698,32.566,0.0279,0.0279,252.7,3.52,4.53
201,03.16.26 05:06:53 PM,0.0243,29.848,32.187,0.0279,0.0279,251.3,4.03,5.03
202,03.16.26 05:07:53 PM,0.0243,29.826,32.215,0.0279,0.0279,242.9,3.02,4.53
203,03.16.26 05:08:53 PM,0.0243,29.633,32.236,0.0279,0.0279,247.1,4.03,5.03
204,03.16.26 05:09:53 PM,0.0243,29.483,31.312,0.0279,0.0279,241.5,4.03,5.54
205,03.16.26 05:10:53 PM,0.0243,29.419,31.922,0.0279,0.0279,242.9,4.03,5.03
206,03.16.26 05:11:53 PM,0.0243,29.376,32.197,0.0272,0.0272,238.7,4.03,5.54
207,03.16.26 05:12:53 PM,0.0243,29.290,32.378,0.0272,0.0272,230.2,3.52,4.53
208,03.16.26 05:13:53 PM,0.0243,29.247,32.467,0.0272,0.0272,209.2,3.02,4.03
209,03.16.26 05:14:53 PM,0.0243,29.290,32.407,0.0272,0.0272,220.4,2.52,3.52
210,03.16.26 05:15:53 PM,0.0243,29.312,32.456,0.0272,0.0272,216.2,2.52,4.53
211,03.16.26 05:16:53 PM,0.0243,29.226,32.522,0.0272,0.0272,230.2,4.03,5.54
212,03.16.26 05:17:53 PM,0.0243,29.054,33.024,0.0272,0.0272,220.4,5.03,6.04
213,03.16.26 05:18:53 PM,0.0243,28.883,33.362,0.0272,0.0272,213.4,4.03,5.03
214,03.16.26 05:19:53 PM,0.0243,28.711,33.577,0.0272,0.0272,188.1,4.03,5.54
215,03.16.26 05:20:53 PM,0.0243,28.797,33.335,0.0272,0.0272,216.2,4.03,5.54
216,03.16.26 05:21:53 PM,0.0243,28.797,33.382,0.0272,0.0272,212.0,4.53,6.04
217,03.16.26 05:22:53 PM,0.0243,28.690,33.483,0.0272,0.0272,212.0,4.03,6.04
218,03.16.26 05:23:53 PM,0.0243,28.711,33.423,0.0272,0.0272,217.6,4.03,5.03
219,03.16.26 05:24:53 PM,0.0243,28.690,33.190,0.0272,0.0272,228.8,4.03,5.03
220,03.16.26 05:25:53 PM,0.0243,28.775,33.240,0.0272,0.0272,230.2,3.02,4.53
221,03.16.26 05:26:53 PM,0.0243,28.861,33.034,0.0272,0.0272,220.4,2.01,3.52
222,03.16.26 05:27:53 PM,0.0243,28.968,32.900,0.0272,0.0272,221.8,2.52,3.02
223,03.16.26 05:28:53 PM,0.0243,28.925,32.902,0.0272,0.0272,217.6,2.52,4.03
224,03.16.26 05:29:53 PM,0.0243,28.775,33.120,0.0272,0.0272,223.2,3.02,4.53
225,03.16.26 05:30:53 PM,0.0243,28.647,33.231,0.0264,0.0264,188.1,3.02,4.53
226,03.16.26 05:31:53 PM,0.0243,28.647,33.153,0.0272,0.0272,200.8,3.02,4.03
227,03.16.26 05:32:53 PM,0.0243,28.647,33.202,0.0264,0.0264,217.6,2.01,3.52
228,03.16.26 05:33:53 PM,0.0243,28.754,32.873,0.0264,0.0264,226.0,2.01,3.02
229,03.16.26 05:34:53 PM,0.0243,28.840,32.616,0.0264,0.0264,230.2,2.01,3.02
230,03.16.26 05:35:53 PM,0.0243,28.840,32.506,0.0264,0.0264,227.4,3.52,5.03
231,03.16.26 05:36:53 PM,0.0243,28.775,32.566,0.0264,0.0264,220.4,3.02,5.03
232,03.16.26 05:37:53 PM,0.0243,28.711,32.728,0.0264,0.0264,227.4,2.52,4.03
233,03.16.26 05:38:53 PM,0.0243,28.732,32.406,0.0264,0.0264,200.8,2.01,3.52
234,03.16.26 05:39:53 PM,0.0243,28.690,31.679,0.0264,0.0264,199.4,3.02,4.53
235,03.16.26 05:40:53 PM,0.0243,28.561,32.178,0.0264,0.0264,189.5,2.52,3.52
236,03.16.26 05:41:53 PM,0.0243,28.561,32.612,0.0264,0.0264,205.0,1.51,3.02
237,03.16.26 05:42:53 PM,0.0243,28.732,32.192,0.0264,0.0264,223.2,2.01,3.52
238,03.16.26 05:43:53 PM,0.0243,28.668,31.890,0.0264,0.0264,226.0,2.52,3.52
239,03.16.26 05:44:53 PM,0.0243,28.604,32.213,0.0264,0.0264,190.9,1.01,3.52
240,03.16.26 05:45:53 PM,0.0243,28.518,32.650,0.0264,0.0264,207.8,2.52,3.52
241,03.16.26 05:46:53 PM,0.0243,28.539,32.773,0.0264,0.0264,217.6,2.01,3.02
242,03.16.26 05:47:53 PM,0.0243,28.518,32.709,0.0264,0.0264,224.6,2.01,2.52
243,03.16.26 05:48:53 PM,0.0243,28.561,32.558,0.0264,0.0264,226.0,1.51,2.01
244,03.16.26 05:49:53 PM,0.0243,28.518,32.430,0.0264,0.0264,196.5,1.51,2.52
245,03.16.26 05:50:53 PM,0.0243,28.539,31.957,0.0264,0.0264,219.0,2.01,3.52
246,03.16.26 05:51:53 PM,0.0243,28.454,32.503,0.0264,0.0264,238.7,2.01,3.02
247,03.16.26 05:52:53 PM,0.0243,28.411,32.380,0.0264,0.0264,228.8,2.01,3.02
248,03.16.26 05:53:53 PM,0.0243,28.389,32.343,0.0264,0.0264,219.0,2.01,3.02
249,03.16.26 05:54:53 PM,0.0235,28.303,32.479,0.0257,0.0257,220.4,2.01,3.02
250,03.16.26 05:55:53 PM,0.0235,28.346,32.465,0.0264,0.0264,212.0,1.01,2.01
251,03.16.26 05:56:53 PM,0.0235,28.346,32.526,0.0257,0.0257,212.0,1.01,2.01
252,03.16.26 05:57:53 PM,0.0235,28.325,32.586,0.0257,0.0257,212.0,1.01,2.01
253,03.16.26 05:58:53 PM,0.0235,28.175,33.231,0.0257,0.0257,167.1,2.01,3.52
254,03.16.26 05:59:53 PM,0.0235,28.003,33.330,0.0257,0.0257,165.7,1.51,2.01
255,03.16.26 06:00:53 PM,0.0235,28.003,33.313,0.0257,0.0257,172.7,2.01,3.02
256,03.16.26 06:01:53 PM,0.0235,28.025,33.281,0.0257,0.0257,213.4,2.01,3.52
257,03.16.26 06:02:53 PM,0.0235,28.003,33.248,0.0257,0.0257,237.3,2.01,3.52
258,03.16.26 06:03:53 PM,0.0235,28.003,33.202,0.0257,0.0257,241.5,2.01,2.52
259,03.16.26 06:04:53 PM,0.0235,27.982,33.341,0.0257,0.0257,241.5,2.52,5.03
260,03.16.26 06:05:53 PM,0.0235,28.003,32.988,0.0257,0.0257,234.5,2.01,2.52
