Date;Wind speed  (vc avg);Wind  direction  (vc avg);Wind  speed (max);Wind Dir.(Max wind speed);latitude;longitude;station_id
16 Mar 2017;1.2;266.66482748785;7.2;240.7;-24.1296;15.8947;31201
17 Mar 2017;1.4;302.38477628161;8.0;326.4;-24.1296;15.8947;31201
18 Mar 2017;2.0;174.29127306083;6.7;247.2;-24.1296;15.8947;31201
19 Mar 2017;4.2;66.007304684441;8.0;54.09;-24.1296;15.8947;31201
20 Mar 2017;2.8;55.501627713966;6.2;23.99;-24.1296;15.8947;31201
21 Mar 2017;3.1;65.141235433605;6.8;58.15;-24.1296;15.8947;31201
22 Mar 2017;0.6;19.323874211451;7.2;24.61;-24.1296;15.8947;31201
23 Mar 2017;2.6;222.82013248726;8.0;218.3;-24.1296;15.8947;31201
24 Mar 2017;3.4;184.11789589007;8.1;208.8;-24.1296;15.8947;31201
25 Mar 2017;1.7;123.72499288045;7.4;199.6;-24.1296;15.8947;31201
26 Mar 2017;1.9;174.92316432512;8.3;197.6;-24.1296;15.8947;31201
27 Mar 2017;1.6;248.17171452505;6.1;229.3;-24.1296;15.8947;31201
28 Mar 2017;1.9;177.82782559222;8.4;225.6;-24.1296;15.8947;31201
29 Mar 2017;1.4;281.8950157044;6.3;336.5;-24.1296;15.8947;31201
30 Mar 2017;1.1;62.63565224004;8.0;177.1;-24.1296;15.8947;31201
31 Mar 2017;1.6;188.41229422947;7.3;197.7;-24.1296;15.8947;31201
01 Apr 2017;1.7;213.72459047228;7.3;210.0;-24.1296;15.8947;31201
02 Apr 2017;1.7;209.66487234677;7.1;204.0;-24.1296;15.8947;31201
03 Apr 2017;1.6;193.95951524531;7.2;206.6;-24.1296;15.8947;31201
04 Apr 2017;2.0;211.32937819666;8.3;171.6;-24.1296;15.8947;31201
05 Apr 2017;1.8;212.03999876432;6.4;237.5;-24.1296;15.8947;31201
06 Apr 2017;1.6;229.96306316694;6.9;226.2;-24.1296;15.8947;31201
07 Apr 2017;1.9;212.71277218958;7.5;215.8;-24.1296;15.8947;31201
08 Apr 2017;1.8;265.600038789;8.1;323.9;-24.1296;15.8947;31201
09 Apr 2017;1.7;284.80052457652;6.3;290.8;-24.1296;15.8947;31201
10 Apr 2017;1.4;212.11867028924;7.9;179.2;-24.1296;15.8947;31201
11 Apr 2017;1.7;235.90777369184;7.5;252.7;-24.1296;15.8947;31201
12 Apr 2017;2.7;239.90692039646;6.5;223.1;-24.1296;15.8947;31201
13 Apr 2017;2.0;266.77954815583;4.9;290.6;-24.1296;15.8947;31201
14 Apr 2017;0.9;289.3091964771;6.8;317.6;-24.1296;15.8947;31201
15 Apr 2017;2.0;47.989282763887;9.4;34.47;-24.1296;15.8947;31201
16 Apr 2017;0.7;131.92485349938;7.9;17.52;-24.1296;15.8947;31201
17 Apr 2017;1.7;283.04749298796;8.1;306.1;-24.1296;15.8947;31201
18 Apr 2017;1.9;192.46898557981;7.4;204.0;-24.1296;15.8947;31201
19 Apr 2017;2.4;114.33676256989;7.5;209.0;-24.1296;15.8947;31201
20 Apr 2017;3.2;76.616277421897;12.4;26.66;-24.1296;15.8947;31201
21 Apr 2017;1.0;197.08707923888;6.6;220.1;-24.1296;15.8947;31201
22 Apr 2017;2.1;31.81129671367;7.7;33.22;-24.1296;15.8947;31201
23 Apr 2017;1.8;148.59010801625;6.1;164.7;-24.1296;15.8947;31201
24 Apr 2017;0.6;122.79880743073;5.4;171.3;-24.1296;15.8947;31201
25 Apr 2017;0.3;233.15532478613;5.9;221.3;-24.1296;15.8947;31201
26 Apr 2017;1.8;309.73683669019;5.1;349.5;-24.1296;15.8947;31201
27 Apr 2017;1.1;323.21588711835;5.8;1.62;-24.1296;15.8947;31201
28 Apr 2017;2.1;348.74284151604;5.7;341.7;-24.1296;15.8947;31201
29 Apr 2017;2.5;338.31893922349;7.1;16.69;-24.1296;15.8947;31201
30 Apr 2017;3.0;313.00492395845;9.3;324.2;-24.1296;15.8947;31201
01 May 2017;1.3;267.63173887049;5.6;220.2;-24.1296;15.8947;31201
02 May 2017;0.9;28.276197034725;4.6;221.0;-24.1296;15.8947;31201
03 May 2017;0.8;95.226444845044;5.6;197.8;-24.1296;15.8947;31201
04 May 2017;0.9;251.36050805357;5.2;186.0;-24.1296;15.8947;31201
05 May 2017;1.7;283.74846573485;6.1;336.2;-24.1296;15.8947;31201
06 May 2017;0.9;179.26957182929;7.2;176.9;-24.1296;15.8947;31201
07 May 2017;0.5;259.18544569808;6.0;25.96;-24.1296;15.8947;31201
08 May 2017;1.5;256.90335200955;5.7;343.2;-24.1296;15.8947;31201
09 May 2017;0.8;297.48761280291;5.6;328.3;-24.1296;15.8947;31201
10 May 2017;2.0;279.66736775484;6.9;295.4;-24.1296;15.8947;31201
11 May 2017;1.7;276.03726606246;5.6;289.3;-24.1296;15.8947;31201
12 May 2017;0.3;326.08429521635;6.1;32.47;-24.1296;15.8947;31201
13 May 2017;1.8;130.04851451364;5.3;107.3;-24.1296;15.8947;31201
14 May 2017;2.3;134.68604362762;5.3;97.8;-24.1296;15.8947;31201
15 May 2017;2.3;149.5911218709;5.5;206.5;-24.1296;15.8947;31201
16 May 2017;2.5;166.85055898995;5.6;191.3;-24.1296;15.8947;31201
17 May 2017;1.5;156.40288111009;3.3;89.3;-24.1296;15.8947;31201
18 May 2017;1.1;252.99682425398;4.5;180.9;-24.1296;15.8947;31201
19 May 2017;0.1;8.2110613724622;5.4;198.0;-24.1296;15.8947;31201
20 May 2017;1.3;64.018572332125;6.7;21.45;-24.1296;15.8947;31201
21 May 2017;1.8;48.329489509849;7.6;21.71;-24.1296;15.8947;31201
22 May 2017;2.0;24.14633213275;7.6;31.3;-24.1296;15.8947;31201
23 May 2017;2.3;356.5138288355;6.1;20.71;-24.1296;15.8947;31201
24 May 2017;1.4;258.04801200937;5.6;177.3;-24.1296;15.8947;31201
25 May 2017;1.7;239.40796372103;5.5;292.9;-24.1296;15.8947;31201
26 May 2017;1.5;237.93308830871;4.7;273.7;-24.1296;15.8947;31201
27 May 2017;0.6;316.31317283831;6.0;325.2;-24.1296;15.8947;31201
