Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Jan 2024";25.8;17.4;34;0;2.2;252.50747390934;5.9;264.4;;21.1;897.1;153.6;13.27;146.8
"02 Jan 2024";27;18.5;35.5;0;2.5;234.67916316877;7.4;220.2;;23;897;193.5;16.72;147
"03 Jan 2024";27.8;19.1;34.7;0;2.6;268.69948390976;8.5;301.4;;27.5;895.3;207.2;17.91;147.5
"04 Jan 2024";28;21.4;34.1;0;2.9;265.32866055165;6.3;181.5;;33.7;894.8;205.4;17.74;147.8
"05 Jan 2024";27.2;19.3;34.2;0;2.7;219.03110410771;9;183.2;;31.5;895.8;207.2;17.9;147.6
"06 Jan 2024";29.1;19.6;38.2;0;4.3;183.44791154553;13.4;178.5;;22.2;895.1;209.9;18.13;147.3
"07 Jan 2024";30.2;24.5;36.3;0;3.3;197.0935701929;9.8;201.1;;14.4;894.2;192.4;16.63;146.7
"08 Jan 2024";28.1;22.5;33.6;0;3;277.85914522497;6.2;283.3;;11.4;893.2;210.2;18.16;146.4
"09 Jan 2024";22.9;14.7;30;0;3.1;282.32822595813;5.4;280.1;;35.4;893.3;213.3;18.43;147
"10 Jan 2024";22;13;29.4;0;3.1;283.17779162132;5.5;277.4;;36.6;893.6;218.8;18.9;147.3
"11 Jan 2024";23.3;14.3;31.5;0;2.6;275.34291646277;6.9;291.3;;26.9;893.4;217.5;18.79;146.9
"12 Jan 2024";24.2;15.6;32.6;0;2.7;259.58633894392;7.7;290;;29.6;894.3;211.1;18.24;147.2
"13 Jan 2024";25.3;15.7;35.7;0;2.6;257.03227686171;6.6;227.8;;33.8;894.1;206.4;17.84;147.5
"14 Jan 2024";27.7;19;37;0;2.5;237.24846555954;8.1;185.3;;34.7;893.3;206.9;17.88;147.8
"15 Jan 2024";26.9;19.6;34.1;0;3.2;278.72840550672;6.5;297.7;;35.5;893.3;204.8;17.69;147.9
"16 Jan 2024";24.8;19.1;32;0;3.3;272.35852682819;6.2;312.4;;40.5;893.3;205.3;17.74;147.9
"17 Jan 2024";21;15.5;28.8;0;3.8;287.06869096019;7;272.4;;54.6;894.5;207.7;17.95;148.4
"18 Jan 2024";21.2;12.8;29.2;0;3.1;288.05281830559;5.7;280.2;;52.4;895.3;208.9;18.05;148.6
"19 Jan 2024";24.7;16.6;33.9;0;2.9;277.54011237895;6.1;274.5;;39.4;895.1;210.5;18.19;148.1
"20 Jan 2024";25.2;18.4;33.5;0;2.4;253.18200410952;5.9;237.8;;34.9;896.1;209.8;18.12;147.8
"21 Jan 2024";27.2;18.8;35.4;0;2.9;218.76875200978;9.2;209.3;;25.3;895.7;211.5;18.28;147.5
"22 Jan 2024";27.1;18.9;33.7;0;2.8;257.30437810372;7.7;283;;29.8;896.3;178.8;15.45;147.6
"23 Jan 2024";28.3;21.1;34.5;0;1.7;186.44479759836;8.9;177.7;;30;897.7;86.9;7.51;147.7
"24 Jan 2024";30.5;24.1;37.7;0.6;1.5;269.12437982569;7.6;278.2;;28;897.5;149.9;12.95;148.1
"25 Jan 2024";29.7;25.8;37.6;1.6;1.1;343.79228411256;9.3;24.5;;36.6;898;170.6;14.74;148.4
"26 Jan 2024";29.8;24.7;35.5;0;2.3;269.14486890111;5.3;234.1;;35.5;896.7;255.5;22.07;148.1
"27 Jan 2024";29.3;23.6;35.2;0;2.2;245.61140572025;7.1;207.9;;29.3;895.4;294.5;25.44;147.9
"28 Jan 2024";28.8;21.3;35.7;0;2.2;256.22608965746;7.2;224.5;;24.3;895.1;295.6;25.54;147.6
"29 Jan 2024";25.7;22.5;30.6;0.5;0.5;289.97036954069;7.8;358.7;;23;897.7;120.1;10.38;148.5
"30 Jan 2024";27.8;21.1;35.5;5.2;2.5;177.01401835443;8.8;210.4;;28.5;896.6;245.6;21.22;147.8
"31 Jan 2024";30.3;22.1;37.9;0;3.8;198.74755825191;10.2;184.8;;17.2;896.5;332.3;28.71;147.3
