Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 May 2025";19.7;14.9;25.5;0.7;1.7;286.10262840249;4.4;318.8;;28.9;895.2;211.4;18.27;146.4
"02 May 2025";18.7;11.7;24.3;0.7;1.8;100.53808842521;4.5;79.92;;32.7;897.2;180.7;15.61;146.3
"03 May 2025";21.8;16.6;28.1;0;1.9;116.63001598341;4.9;90.6;;22.9;897.5;220;19;146.4
"04 May 2025";23.9;17.7;30.9;0;0.6;261.14871726396;4.3;343;;25.2;897.5;217.2;18.77;146.7
"05 May 2025";24.5;18.8;30.6;0;1.3;259.71343957035;6.4;350.7;;27.3;899.3;214.3;18.51;146.8
"06 May 2025";24.1;17.5;30.6;0.3;1.1;287.80187285308;5.9;345.4;;31.6;900.3;211.3;18.25;146.9
"07 May 2025";24.4;17.6;31.1;0;1.7;197.49181822005;6.3;182.8;;31;899.9;212.4;18.35;146.8
"08 May 2025";23.7;17.8;29.7;1.2;1.7;223.82567481901;5.1;220.3;;27.2;898.3;205.7;17.77;146.6
"09 May 2025";22.4;15.1;29;0;1.7;264.65249716995;6.2;315.1;;29;898.2;213.7;18.46;146.7
"10 May 2025";21.4;15.9;27.8;0;2.2;227.31277485111;5.2;262.5;;29.4;900.2;210.7;18.2;146.6
"11 May 2025";20;13.2;27.6;0;1;151.1682823734;3.5;54.22;;27.4;901.5;217.6;18.8;146.3
"12 May 2025";21.2;15.3;28.1;0;1.1;111.58558254064;4;138.4;;23.5;901.8;212.2;18.34;146.2
"13 May 2025";22.7;16.9;29;0.6;1.3;93.271901367987;3.2;15.61;;17.7;901.5;211.3;18.26;146.1
"14 May 2025";23.9;20.1;28.6;6.4;2.5;45.550552684402;6.7;22.9;;22.8;900.7;206.4;17.83;146.4
"15 May 2025";24;20;29;0;0.5;338.57533403212;4.4;2.09;;28.8;899.1;208.3;17.99;146.7
"16 May 2025";23.6;17.1;28.6;0;1;337.49312195043;4.9;343.8;;36;897.9;166.1;14.35;147.1
"17 May 2025";24.7;19.4;29.9;0;1.2;282.35239818259;5.2;340.9;;36.4;897.3;185.5;16.03;147.3
"18 May 2025";24.5;19.2;30.3;0.1;1.4;292.13706370327;6;273.3;;35.9;896.3;170.4;14.72;147.3
"19 May 2025";21.6;15.7;28.7;0;2;289.82606630802;6.3;296.2;;43.1;895.7;184.3;15.92;147.3
"20 May 2025";14.4;9.8;18.5;0;2.4;261.89145403193;5.3;247.1;;58.1;897.3;183.8;15.88;147.2
"21 May 2025";15.2;7.9;23.2;0;2.7;115.45446350207;6.2;87.4;;42.4;899.9;190.6;16.47;147.9
"22 May 2025";20.2;13.8;27.9;0;3.2;108.17207028439;6;119.5;;16;901.6;198.7;17.17;145.6
"23 May 2025";22.1;16.3;29.1;0;1.9;137.18603589124;3.3;144.5;;16;901.8;198.5;17.15;145.8
"24 May 2025";22;16.8;28.1;0;0.8;214.77390011564;4.9;180.2;;15.4;900.3;196.6;16.98;145.7
"25 May 2025";21.7;17;27.8;0;1.3;248.96765625926;5.1;329.4;;21.3;900.2;192.7;16.65;145.9
"26 May 2025";21.6;16;27.7;0;1.5;240.96405234077;4.2;320.8;;23.1;899.8;191.2;15.83;146
"27 May 2025";;;;;;;;;;;;;;
"28 May 2025";;;;;;;;;;;;;;
"29 May 2025";;;;;;;;;;;;;;
"30 May 2025";;;;;;;;;;;;;;
"31 May 2025";;;;;;;;;;;;;;
