Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Jun 2024";11.3;6.2;17.2;0;1.6;257.83850295839;4.7;228.6;;49.8;896.7;200.4;17.32;146.3
"02 Jun 2024";6.5;0.4;10.9;0.2;2;229.31651858912;4.8;241.2;;59.1;897.1;153.5;13.26;146.4
"03 Jun 2024";8.5;2.3;15.4;0.1;2.1;178.82904374828;5.8;192.9;;64.7;898.2;200.5;17.32;159.8
"04 Jun 2024";12.8;6;20.4;0;1.5;279.6720795071;5.2;317.1;;37.9;896.6;202.7;17.51;146.1
"05 Jun 2024";10.5;3.8;16.5;0;2.2;285.10850216824;5;303.3;;40.9;895.8;197.9;17.1;145.8
"06 Jun 2024";10.9;4.9;16.1;0;2.6;186.77831150086;6.9;180.1;;60.3;900.1;172.9;14.94;148.6
"07 Jun 2024";15;9.4;20.7;0;3;106.99345114916;5.1;93.1;;34.4;903.3;196.7;17;146.4
"08 Jun 2024";17.2;12.1;23;0;3.8;85.956853565524;6.1;58.95;;24.5;902.7;201.8;17.44;146
"09 Jun 2024";20.7;15;27;0;0.9;37.39401953574;5.1;359;;14.5;900.6;180.8;15.62;145.4
"10 Jun 2024";22.2;15.7;29.1;0;1.5;302.43192507001;6.1;351.6;;22.7;900.3;177.7;15.35;145.8
"11 Jun 2024";22.2;15.2;28.4;0;3;304.69007898941;8;307.4;;29.9;900.1;166.8;14.41;146.2
"12 Jun 2024";21.2;14;27.5;0;1.5;292.49633980221;5.4;334.4;;29.8;901;174.3;15.06;146.1
"13 Jun 2024";23;17.6;29;0;0.9;116.36521392142;4.1;14.46;;21.1;901.1;180.3;15.58;146
"14 Jun 2024";22.3;14;28.3;0;1;94.007526188824;3;5.15;;14;900.8;190.2;16.44;145.5
"15 Jun 2024";21.4;13.7;27.5;0;1;356.76146074686;4.1;8.22;;9.8;898.9;194.8;16.83;145.1
"16 Jun 2024";19.7;12.9;27.3;0;3;326.07096454575;7.4;350.8;;14;896.8;192.5;16.63;145.1
"17 Jun 2024";16;9.8;22.4;0;2;301.0643816033;5.1;302.4;;35.8;898;180.2;15.57;145.8
"18 Jun 2024";16.8;10;24.3;0;1.2;287.53664724202;4.3;302.6;;26.7;898;182.7;15.79;145.6
"19 Jun 2024";17.5;10.8;24.9;0;1.3;284.57194404783;5.1;313.9;;23.5;897.9;188;16.24;145.6
"20 Jun 2024";19.9;13;27.7;0;2.3;314.29521710518;8.8;322.4;;14.8;897.8;186.9;16.15;145.4
"21 Jun 2024";20.3;13.1;27.5;0;1.5;279.94754641472;6;309.7;;15.8;899.6;179.7;15.53;145.3
"22 Jun 2024";22.2;16.4;29.1;0;0.7;262.89837035337;5.2;337;;16.3;900.9;186.8;16.14;145.6
"23 Jun 2024";22.8;15.5;29.3;0;1;139.49879833659;3.6;87.6;;14.9;901.4;187.3;16.18;145.5
"24 Jun 2024";21.9;14.4;27.9;0;1.5;126.83217443445;4.5;134.3;;13.6;902.8;195.7;16.91;145.3
"25 Jun 2024";21.3;17.9;25.3;0;3.9;79.714777599607;7;54.67;;19;902.5;197;17.02;145.5
"26 Jun 2024";20.5;17.7;24.1;0;7.6;51.432977608305;9.2;40.17;;25;901.9;191.6;16.55;145.8
"27 Jun 2024";21.1;17.8;25.2;0;5.9;32.19862962581;10.8;36.14;;23.5;900.5;188.6;16.29;145.8
"28 Jun 2024";21.1;15;26.3;0;2.7;345.46563547784;8.2;355.3;;23.6;898.8;186.1;16.08;145.7
"29 Jun 2024";20.2;14.2;26.5;0;3.7;312.43000162712;9.5;322.7;;26.4;897;181.7;15.7;145.7
"30 Jun 2024";17.5;13.3;23.1;0;2.3;298.19926514502;5.7;298.7;;29;896.5;174.7;15.1;145.6
