Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Mar 2017";26.4;19;33.4;;2.5;265.45219506231;7.8;177.4;32.7;47.2;894;242.4;20.94;148.5
"02 Mar 2017";26.6;21.6;32.2;;0.7;276.64847294021;6.3;143.1;32.6;50.8;894.6;234;20.22;148.7
"03 Mar 2017";24.8;20.7;30.3;;2.8;266.06433650665;8.3;258.3;32.1;64.8;893.4;286;24.71;164
"04 Mar 2017";24.7;18.9;31.4;;2.4;240.21090500853;6.7;217.1;31.8;52.7;892.2;314;27.13;149.2
"05 Mar 2017";26.3;18.3;34.4;;1.6;220.69865997519;8.4;223.7;32;30.3;893.1;315.1;27.23;148
"06 Mar 2017";27.9;21.8;35.2;;0.8;121.60060400267;6.2;216;32.9;33.7;894.1;270.1;23.34;150
"07 Mar 2017";29.3;23.6;35.1;;2.1;88.476131245183;6.1;72.94;32.9;41.4;893.5;273.4;23.62;149.1
"08 Mar 2017";29.5;24.4;34.8;;1.7;92.814527430866;8.8;189.4;33.9;35.9;893.5;291;25.15;148.3
"09 Mar 2017";28.4;20.4;35.2;;1.9;69.55096851578;7.3;66.07;33.9;40.8;893.7;304.7;26.32;148.5
"10 Mar 2017";29.1;22.2;34.9;;2;59.512720348012;7.4;69.85;33.6;31.3;894.7;279.2;24.12;148
"11 Mar 2017";28.1;22.8;34.3;;1.4;133.10008255582;8.7;182.1;33.2;30.6;895.3;272.8;23.57;147.9
"12 Mar 2017";27.4;20.1;34.4;;0.9;113.61513810694;7.8;190.2;33;30.1;895.5;293;25.32;147.8
"13 Mar 2017";27.2;20.2;33.8;;1.3;289.00222561552;7.5;243.5;32.7;29;896.7;289.1;24.97;147.7
"14 Mar 2017";26.4;22.4;31.6;;3.2;179.37132488174;7.8;171.4;32.2;33.1;896.7;238.6;20.62;149.8
"15 Mar 2017";26.1;19.7;32.7;;3.1;198.04115518683;6.2;174.4;31.9;16.4;895.1;313;27.04;147.2
"16 Mar 2017";26.2;17.7;34;;1.2;266.66482748785;7.2;240.7;31.6;19.1;894;306.1;26.44;146.9
"17 Mar 2017";25.7;19.2;33.5;;1.4;302.38477628161;8;326.4;30.3;36.2;895.4;242.1;20.92;154
"18 Mar 2017";25.3;22.3;30.2;;2;174.29127306083;6.7;247.2;25.5;52.9;898;103.3;8.93;151.5
"19 Mar 2017";28.9;24.5;33.8;;4.2;66.007304684441;8;54.09;25.5;33.3;899.8;270.7;23.38;148
"20 Mar 2017";28;22.3;32.8;;2.8;55.501627713966;6.2;23.99;27.8;33.1;899.5;293.5;25.36;147.9
"21 Mar 2017";28.5;22.8;32.4;;3.1;65.141235433605;6.8;58.15;28.4;28.8;898;244.6;21.14;147.9
"22 Mar 2017";27.3;23.2;32.8;;0.6;19.323874211451;7.2;24.61;28.9;38.1;897;228;19.7;150
"23 Mar 2017";26.7;21.6;32.2;;2.6;222.82013248726;8;218.3;29.3;42.5;896.7;288.9;24.96;148.1
"24 Mar 2017";26.3;20.7;33.1;;3.4;184.11789589007;8.1;208.8;29.6;27.1;896.8;300.3;25.95;147.4
"25 Mar 2017";26.8;19.5;33.4;;1.7;123.72499288045;7.4;199.6;29.6;25.7;896.4;291.4;25.17;147.4
"26 Mar 2017";27.9;20.3;34.8;;1.9;174.92316432512;8.3;197.6;31;27.2;896.4;290;25.06;147.7
"27 Mar 2017";27.9;21.5;34.2;;1.6;248.17171452505;6.1;229.3;31.6;30.6;896.9;277.9;24.01;147.8
"28 Mar 2017";29.4;23.1;35.6;;1.9;177.82782559222;8.4;225.6;33;21;896.9;282.6;24.42;147.6
"29 Mar 2017";28.3;20.8;35.3;;1.4;281.8950157044;6.3;336.5;32.4;21.2;896.7;277.3;23.96;147.3
"30 Mar 2017";29.3;24.2;34.9;;1.1;62.63565224004;8;177.1;33;20;898.3;277.3;23.96;147.4
"31 Mar 2017";28.3;21.4;35;;1.6;188.41229422947;7.3;197.7;33;20.9;899;279.2;24.12;147.4
