Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Feb 2021";22;14.4;31.5;0;2.7;275.83318000549;6.1;243.4;;55.3;893.8;347.2;30;149.5
"02 Feb 2021";24.1;15.7;33.8;0;2;274.31636022355;6.5;266;;48.4;894.4;345.1;29.81;149.7
"03 Feb 2021";24.4;17.4;31.6;0;2.5;277.46064861248;7.1;282.9;;44.2;894.6;328.5;28.38;149.2
"04 Feb 2021";25.6;19.4;34.2;0;2.3;251.78050539686;7.3;250.1;;45.6;894.8;331;28.6;149.4
"05 Feb 2021";29.5;20.3;36.3;0.3;2.4;141.19509917958;11.5;189.1;;26.6;894.5;293.1;25.33;148.5
"06 Feb 2021";29.5;19.5;37.6;0;3.4;162.19204797822;11.3;181.3;;22.9;893.4;345.3;29.84;147.8
"07 Feb 2021";28.8;19.5;37.7;0;2.1;206.17682866227;8.7;218.4;;24.1;891.3;339.8;29.36;147.9
"08 Feb 2021";28.9;19.7;36.8;0;1.3;115.32523884219;8.2;207.8;;28.2;891;318.2;27.49;148.1
"09 Feb 2021";26.4;18.3;37.2;1.1;1.4;280.02914497864;7.7;234.7;;46;892.4;303.8;26.25;149.2
"10 Feb 2021";24.9;19.6;34.7;4.1;0.4;265.82001189763;7.1;231.6;;59.9;893;242.1;20.91;156.6
"11 Feb 2021";24.8;19.5;32.6;2.2;1.1;247.0147864645;7.1;239.2;;64.3;892.4;246.5;21.3;152.5
"12 Feb 2021";23.6;18.8;29.8;0;1.6;260.70331433958;7.4;240.8;;64;891.7;257.7;22.27;150.2
"13 Feb 2021";21;17.4;26.1;0;3;273.20498195677;7.4;268.5;;71.2;892.8;204.5;17.67;150.3
"14 Feb 2021";22.4;17.5;29.8;0;2.2;211.05848094393;7.8;186.1;;62.8;893.8;234.3;20.24;150.2
"15 Feb 2021";23.4;14.9;32.1;0;1.5;214.88468236068;6.7;225.6;;34.7;894.3;341.2;29.48;148.5
"16 Feb 2021";24.3;15.9;32.8;0;1.6;297.22249692613;6.2;276.4;;24.5;893.5;335.6;29;147.6
"17 Feb 2021";23.8;13.8;33;0;2;262.97041353815;5.9;242.4;;22.3;893.7;332;28.68;147.3
"18 Feb 2021";25;13.5;33.5;0;1.5;241.77425682499;4.5;265.7;;21.6;894.1;324.5;28.03;147.3
"19 Feb 2021";27.1;20.7;33.8;0.8;2.1;227.66401980556;5.5;211.5;;21.8;894.1;311.5;26.91;147.6
"20 Feb 2021";25.5;16.2;34;0;1.9;239.04043561195;6.4;209.9;;22.8;893.5;296.8;25.65;147.4
"21 Feb 2021";23.4;14.6;31.3;0;2.2;264.72047437908;5.3;239.1;;27;893.3;311.7;26.93;147.4
"22 Feb 2021";23.4;14.7;31.5;0;2.2;271.31324137066;6.4;278.5;;31.2;894.6;318.1;27.49;147.7
"23 Feb 2021";23.9;14.6;32.7;0;2.1;240.23938530207;5.6;227.7;;28.3;896.2;326.5;28.21;147.7
"24 Feb 2021";25;14.7;35.2;0;2;266.03274502531;7.3;267.3;;26;893.6;333.6;28.83;147.5
"25 Feb 2021";26.9;18.4;35.1;0;2.1;232.12692544176;7;213.5;;28.4;892;301.5;26.05;148
"26 Feb 2021";22;13.2;30;0;3;291.13304912293;5.7;279;;50.1;893.2;314.5;27.17;148.6
"27 Feb 2021";23.5;13.2;33.7;0;1.5;263.933158284;4.9;306.4;;49;893.3;316.4;27.34;148.9
"28 Feb 2021";27;17.3;34.9;0.8;2.1;278.41610391348;7.4;233.4;;39.2;893.3;312.4;26.99;149.9
