Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Jul 2017";18.7;12.2;26.4;0;1.8;262.88837364979;5.9;285.1;18.9;26.9;900.2;184;15.89;146
"02 Jul 2017";16.4;10.2;24.4;0;0.9;230.66623088451;3.4;304.3;18.3;23;899.9;192.9;16.66;145.7
"03 Jul 2017";18.2;11.5;25.7;0;0.6;282.56084600103;4.2;249.1;18.2;15.5;899.6;197.2;17.04;145.5
"04 Jul 2017";20.1;11.9;27.7;0;0.8;265.73259606086;4.2;325.8;19;17.3;900.7;192.9;16.67;145.8
"05 Jul 2017";21.3;14.4;28.2;0;0.5;292.24723101861;4.3;316.9;20.3;16.8;902.3;190.4;16.45;145.9
"06 Jul 2017";20.3;13.7;26.3;0;1.2;13.379880084781;5.5;36.16;20.1;18.3;902.5;195.9;16.92;145.7
"07 Jul 2017";18.7;12.9;25;0;1.4;319.79842898678;6.5;0.08;19.6;22.7;901.3;195.3;16.87;145.8
"08 Jul 2017";18.6;12.1;25.9;0;3.1;304.06319110249;9.3;324.7;19.2;25.9;899.9;195.4;16.88;145.9
"09 Jul 2017";17.1;11.9;24.4;0;1.1;251.75473807003;4.7;291.9;19.2;32.9;898.9;184.1;15.9;146
"10 Jul 2017";17.5;10.4;25.1;0;1.4;273.10180001707;4.8;303.5;18.6;30;898.3;187.3;16.18;146.2
"11 Jul 2017";19.9;11.1;29;0;1.3;248.9781552919;5.4;314.8;18.7;17.2;899.1;169.6;14.65;145.9
"12 Jul 2017";21;15.5;28.7;0;1.6;200.02435846057;4.6;227.6;20.2;17.4;900.9;172.2;14.88;145.9
"13 Jul 2017";21.4;16.4;28.4;0;1.3;249.97687688061;5.3;291.1;21.5;18.9;899.5;165.2;14.27;146
"14 Jul 2017";17.2;10.5;23.1;0;2.7;291.20126870142;5.8;301.3;20.2;26.5;897.9;183.9;15.88;145.8
"15 Jul 2017";14;7.6;22;0;1.6;288.54138933934;5.1;294.7;17.8;32.2;898.4;205.6;17.76;145.7
"16 Jul 2017";14;3.9;24.1;0;0.9;129.96532634088;4.3;99.4;16.4;24.1;900.5;212.7;18.37;145.5
"17 Jul 2017";18.4;11.3;26.5;0;1.8;91.455049130244;5.9;94.6;18.9;21.8;901.6;207.6;17.93;145.8
"18 Jul 2017";20;13.7;27.7;0;2;208.06293843177;4.5;181.7;20.3;18.7;903.2;205.9;17.79;145.9
"19 Jul 2017";21.2;15.2;28.8;0;1.7;212.13986499931;4;188.9;21;14.4;902.7;210.3;18.17;145.8
"20 Jul 2017";21.7;15.5;28.4;0;1.5;115.84573510749;3.8;138.7;20.9;10.9;900.9;212.9;18.39;145.7
"21 Jul 2017";21.3;14.9;28.8;0;1.4;246.53355961205;4.9;231.5;21.1;9.5;898.3;213.5;18.44;145.5
"22 Jul 2017";19.4;13.7;26.4;0;1.7;229.55188198327;4.8;219.6;20.8;17.5;898.2;213.4;18.44;145.6
"23 Jul 2017";19.2;12.1;27.8;0;0.7;225.29091294721;4.7;315;20.2;15.6;899.2;216.9;18.74;145.6
"24 Jul 2017";19.7;12.5;28.5;0;1.7;282.83501887139;6.7;338.2;19.8;12.8;900.2;215.5;18.62;145.5
"25 Jul 2017";18.6;11.1;26.3;0;2.1;201.52842175209;7.4;180.4;20.1;16.9;900.7;214.8;18.56;145.5
"26 Jul 2017";20;14.5;26.4;0;2.7;100.89950153881;6.7;101.8;20.8;13.6;900.6;215.1;18.58;145.5
"27 Jul 2017";21.9;16.9;27;0;2.9;49.210895130238;9.1;30.94;21.3;12.8;900.8;214.3;18.52;145.7
"28 Jul 2017";21.5;14.4;27.2;0;1.9;346.51922807396;7.3;2.49;21.6;14.2;901.4;216.5;18.7;145.7
"29 Jul 2017";21.1;15.4;26.3;0;2.1;29.698785588317;7.9;28.09;21.5;18.8;901.6;218.6;18.89;145.8
"30 Jul 2017";21;16.1;27.1;0;2.2;15.030748044868;6;29.38;22.3;17.6;899.9;223.2;19.28;145.7
"31 Jul 2017";19.3;13;26.2;0;4.6;325.04015795484;12.5;351.1;21.3;29.4;898.6;217.2;18.77;145.9
