Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Dec 2023";25.1;17.3;34.9;0;2.3;230.2160442275;6;233.1;;42.6;895.3;285;24.62;147.5
"02 Dec 2023";26.3;21.3;32.9;0.2;2.7;299.41429924508;7.9;271.8;;39.7;895;248.3;21.45;147.8
"03 Dec 2023";28.5;22.8;33.9;0;1.1;196.82770161131;6.9;209.8;;31.6;894.6;236.9;20.47;147.7
"04 Dec 2023";29.8;23.6;36.1;0;3.7;193.95532948273;8;228.4;;14;894.9;316.1;27.31;146.7
"05 Dec 2023";28;21.4;35.1;0;2.5;269.80880221221;6.5;253.9;;11.1;894.5;337.3;29.14;146.3
"06 Dec 2023";25.9;17.9;32.7;0;2.4;272.48942799783;5.4;283.4;;14.8;895.7;331.9;28.68;146
"07 Dec 2023";27.1;17.7;35.6;0;3;205.94027101798;7.6;210.3;;16.7;896.2;353.1;30.5;146.3
"08 Dec 2023";27.8;19.3;35.8;0;3.4;206.00167311699;8.4;188.7;;14.4;895;354.4;30.62;146.3
"09 Dec 2023";27;19.1;34.3;0;3.3;206.85260910586;8.7;209.7;;17.7;893.6;358.2;30.95;146.4
"10 Dec 2023";24.5;17.5;31.4;0;2.7;267.17963447465;7.4;281.7;;27.5;893;355.2;30.69;146.6
"11 Dec 2023";26.6;16.5;35.4;0;2.5;202.72387607486;8.9;242.6;;19.4;893.3;360.1;31.11;146.5
"12 Dec 2023";28.3;18.5;36.9;0;2.1;242.27880125477;8.2;255.8;;14.9;894;362.1;31.29;146.3
"13 Dec 2023";25.8;18.8;32.7;0;3.3;278.79807594344;7.1;277.3;;26.1;893.6;360.9;31.18;146.6
"14 Dec 2023";22.8;13.9;31.1;0;2.7;266.50879407109;5.6;275.5;;31.9;893;365.8;31.6;146.7
"15 Dec 2023";24.3;15.3;32.3;0;1.8;268.18250232595;5.1;279.3;;18.2;893.3;369.4;31.91;146.3
"16 Dec 2023";25;16.8;32.4;0;2.2;279.69300619428;5.4;275.3;;14.7;893.5;369.8;31.95;146.1
"17 Dec 2023";27.3;17.1;36.1;0;2.9;201.83146848769;8.1;176.2;;16.2;893.1;364.5;31.49;146.4
"18 Dec 2023";29.6;20.9;37.6;0;3.5;194.89100655134;9.8;181.7;;12.6;893.9;336;29.03;146.3
"19 Dec 2023";29.9;21.5;37.7;0;2.8;218.6012611334;8.1;203.8;;12.4;895;359.7;31.08;146.4
"20 Dec 2023";31.5;22.5;39.6;0;3.9;193.0433755612;10.6;192.3;;7.2;894.3;360.7;31.17;146.3
"21 Dec 2023";29;20.2;36.3;0;2.8;251.30883442629;7;200.4;;7.2;894.1;364.9;31.53;145.8
"22 Dec 2023";28.2;20;36.7;0;2.3;240.65768744018;6.9;211.6;;8.7;894.7;171.2;14.79;145.8
"23 Dec 2023";26.1;16.7;33.7;0;2.4;270.88546810161;4.9;231.9;;20.2;895.1;155.7;13.45;146.2
"24 Dec 2023";25.5;18.6;32.8;0;3.2;283.51583601408;5.7;295.7;;29.1;894.6;153.4;13.25;146.8
"25 Dec 2023";24.1;16.4;32.6;0;3.1;278.02253887417;5.9;259.8;;40.8;892.7;157.5;13.61;147.3
"26 Dec 2023";21.8;15.5;29.4;0;3.6;287.98614469165;6.3;279.9;;47.1;891.6;157.1;13.57;147.5
"27 Dec 2023";19.8;11.8;28.5;0;2.9;273.81780950353;6.1;273.7;;55.5;893.8;148.1;12.79;145.2
"28 Dec 2023";20.3;12.9;27.9;0;2.8;262.09361919513;5.7;280.1;;56.7;894.7;146.2;12.63;146.4
"29 Dec 2023";19.3;12.2;26;0;3.5;289.27008501943;5.4;291.7;;51.7;894.1;156.1;13.48;148.4
"30 Dec 2023";21.5;12.2;28.6;0;2.6;286.61053740869;5.7;281.1;;33.6;894.4;158.4;13.68;147.2
"31 Dec 2023";23.1;12.2;31.1;0;2.3;283.17791999545;5.7;292.5;;31.3;895.7;160.4;13.86;147.1
