Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Dec 2019";29.8;23.5;36.7;0;2.6;217.84358975853;8.3;222.8;36.8;7.9;893.3;366.7;31.68;146.5
"02 Dec 2019";24.9;18.1;31.4;0;2.5;280.49470095192;5.9;223.8;35;16.7;894.2;340.5;29.42;146.3
"03 Dec 2019";26.1;17.6;33.2;0;1.7;261.486694434;6;239.9;36.1;24.5;893.5;359.8;31.08;147
"04 Dec 2019";28.6;22.8;34.1;0;2.5;49.025058106796;8.6;66.35;36.5;19.8;893.1;338;29.2;147
"05 Dec 2019";26;21.9;29.9;0.1;2.2;257.7752811659;5.8;271.9;32.9;36.2;894.1;144.6;12.49;147.5
"06 Dec 2019";23.9;19.6;30.2;0;2.4;213.88614915309;9.3;181.5;32.8;48.9;894;231;19.96;148.1
"07 Dec 2019";22.4;17.5;30.1;0.2;1.6;243.14998317254;7.3;62.08;32.2;60.1;893.5;245.1;21.17;149.7
"08 Dec 2019";21.3;16.8;27;0;2.7;258.20555945855;6.3;219.9;33.4;50.9;893.4;352.8;30.48;148.2
"09 Dec 2019";19.5;13.8;26.7;0;3.1;269.75575269362;6.7;218;32.1;57.5;893.7;364.9;31.52;148.5
"10 Dec 2019";22;13.5;29.8;0;2.6;268.86937781097;6.1;276.9;32.6;46.5;894.1;367.2;31.73;148.3
"11 Dec 2019";23.9;15.5;32.4;0;2.8;267.87904325385;6.3;232;33.7;34.5;895.3;367.3;31.73;147.9
"12 Dec 2019";25.9;15.2;34.4;0;2.2;238.79702947015;5.9;217.3;34.7;25.4;895.5;372.4;32.17;147.5
"13 Dec 2019";27.7;19.1;35.8;0;2.8;212.002552374;6.7;208;35.5;15.5;894.8;376;32.49;147.1
"14 Dec 2019";28.8;20.6;36.7;0;4.9;182.37887944215;10;180.6;36.3;14.4;895;350.7;30.3;147.1
"15 Dec 2019";29.4;21.2;36.8;0;1.1;181.25921440186;7.7;221.4;37.5;14.9;894.7;375.1;32.41;147.1
"16 Dec 2019";30.6;25;36.1;0;2.5;307.5005041446;7.7;273.5;37.5;15.1;893.8;362;31.28;147.3
"17 Dec 2019";26.4;21.7;32.4;0;3.6;283.43244727505;6.3;285;36.3;25.7;894.5;355.6;30.72;147.4
"18 Dec 2019";24.7;16.1;31.8;0;2.1;252.13725972641;5.6;193.1;34.9;19.8;894.4;375;32.4;146.8
"19 Dec 2019";25.2;16;32.9;0;2;240.2994531484;7.5;211.8;34.6;22.5;894.4;373.7;32.29;147.1
"20 Dec 2019";26.6;18.9;35.2;0;2.6;268.37947854831;6.9;232.9;35.4;13;895.2;374.3;32.34;146.7
"21 Dec 2019";26.8;20.8;32.4;0;1.9;201.18981528226;8.4;181.4;32.8;19.8;896.3;147.7;12.76;147
"22 Dec 2019";31.6;26.5;37.7;0;2.4;149.07708844212;10.8;212.1;37.7;20.7;895.5;357.6;30.9;147.7
"23 Dec 2019";29.9;22.9;36.5;0;2.7;274.44128566195;7.4;262.3;38.9;24.9;894.7;358.9;31.01;147.6
"24 Dec 2019";27.9;21.9;33.9;0;2.8;269.69012473476;6.1;279.4;37.8;21.6;894.8;360.3;31.13;147.4
"25 Dec 2019";27.5;20.7;33.8;0;2.6;217.88209654047;7.9;187.7;36;12.4;894.6;322.6;27.88;146.9
"26 Dec 2019";26.8;21.6;33.5;0;1.9;204.2327275338;8.2;189.9;33.1;13.1;894.5;187.2;16.18;146.8
"27 Dec 2019";30.3;24.2;37.4;0;3.5;176.27456980544;11;184.5;36.6;15.3;893.6;295.8;25.55;147.3
"28 Dec 2019";29.1;22.3;34.5;0;2.8;260.13530287977;7.5;284;37.5;16.7;892.4;353.9;30.58;147.1
"29 Dec 2019";27.5;19.4;35.2;0;2.8;228.9212290568;7.9;203.5;36.9;22.9;891.9;342.6;29.6;147.4
"30 Dec 2019";26.7;19.7;33.3;0;2.6;241.69437240084;6.5;192.1;36.1;21.3;893;342.9;29.63;147.2
"31 Dec 2019";28.5;22;35.9;0;2.8;227.90186352113;7;226;37.5;16.7;893.3;350.5;30.28;147.2
