Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Sep 2017";23.2;14.1;31.3;0;;;0;0;24.7;13.4;897.9;273.3;23.61;145.5
"02 Sep 2017";24.5;16.2;31.6;0;;;0;0;25.9;9.5;897.4;268.6;23.21;145.6
"03 Sep 2017";27.9;22.4;33.6;0;;;0;0;27.7;7;896.5;243.5;21.04;145.6
"04 Sep 2017";26.7;16.7;33.1;0;;;0;0;29.1;20;896.5;245;21.17;146
"05 Sep 2017";16;11.3;22.2;0;;;0;0;25.2;55.9;897.8;189.1;16.34;146.4
"06 Sep 2017";16.5;8.5;25.6;0;;;0;0;23.6;58.4;899.2;253.8;21.93;147.6
"07 Sep 2017";20.3;10.7;29.8;0;;;0;0;24.6;35.5;898.5;276.9;23.93;146.6
"08 Sep 2017";24.9;16.7;33.4;0;;;0;0;25.7;11.8;897.2;232.7;20.11;145.9
"09 Sep 2017";27.2;21.4;34.9;0;;;0;0;27.4;6.2;897.2;235.3;20.33;145.8
"10 Sep 2017";27.1;19.6;35.5;0;;;0;0;27.9;9;897.1;238.5;20.61;145.7
"11 Sep 2017";28.6;19.5;36.3;0;;;0;0;28.9;10.3;895.5;254.4;21.98;146
"12 Sep 2017";25.8;16.2;35.7;0;;;0;0;29.1;20.3;894.9;266;22.98;145.9
"13 Sep 2017";19.3;10;31;0;;;0;0;26.9;48.9;896;269.1;23.25;146.8
"14 Sep 2017";21.8;13.7;34.4;0;;;0;0;26.8;41.6;895.6;258.7;22.35;146.9
"15 Sep 2017";17.2;10.7;25.5;0;;;0;0;25.8;57.8;896.4;241.7;20.88;147
"16 Sep 2017";20;10.9;30.2;0;;;0;0;25.4;44.3;896.2;232.9;20.12;147.1
"17 Sep 2017";21.4;11;31.8;0;;;0;0;26.3;36.6;896.5;273.1;23.59;146.9
"18 Sep 2017";23.2;15.1;33.6;0;;;0;0;27.5;27.7;897.1;288;24.88;146.5
"19 Sep 2017";24;16.2;33.8;0;;;0;0;27.7;24.5;897.1;269.1;23.25;146.4
"20 Sep 2017";28.1;20.5;37.9;0;;;0;0;29.7;15.7;896;273.1;23.59;146.5
"21 Sep 2017";24;16.1;34.8;0;;;0;0;29.5;37.3;896.1;239.3;20.67;146.8
"22 Sep 2017";23.1;13.9;32.5;0;;;0;0;28.1;42.5;897.1;235.9;20.38;147.3
"23 Sep 2017";30.4;24;37.5;0;;;0;0;31;15.3;896.5;263.2;22.74;146.8
"24 Sep 2017";26;19.8;30.5;0;;;0;0;31.4;25.6;895.8;262.7;22.7;146.6
"25 Sep 2017";18.9;10.8;26.6;0;;;0;0;27.7;42.3;895.4;266.8;23.05;146.6
"26 Sep 2017";21.4;12.2;29.9;0;;;0;0;27.2;19;894.4;317.9;27.46;146.1
"27 Sep 2017";23.5;16;32;0;;;0;0;29.1;18.2;895;319.8;27.63;146.1
"28 Sep 2017";21.3;13.7;29.8;0;;;0;0;28.5;28.2;896.7;303.5;26.22;146.4
"29 Sep 2017";23.5;12.8;32.7;0;;;0;0;28.7;21.5;896.5;304.4;26.3;146.4
"30 Sep 2017";25.5;19.4;33.1;0;;;0;0;29.3;19;895.4;294.7;25.46;146.4
