Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Apr 2021";27.1;20.9;32.6;0;0.8;242.41930750744;7.3;193.1;;37.4;897.3;258.2;22.31;148.6
"02 Apr 2021";27.5;20.3;33.6;0;1.3;175.84430707001;5.3;169.8;;34.6;898.1;221.3;19.12;148.4
"03 Apr 2021";29.6;23.5;35.6;0;0.4;158.66447468547;6.6;221.5;;25.7;897.6;239.7;20.71;148.2
"04 Apr 2021";29;22.5;35.3;0;1.1;264.60147092188;7.6;184.6;;27;897.7;264;22.81;148.2
"05 Apr 2021";28.9;22.7;35;0;2.7;169.41424429031;6.6;196.1;;23.5;897.6;209;18.05;148
"06 Apr 2021";26.6;21.1;33;0;2.9;208.05653169009;6.3;239.5;;18.6;897.3;271.1;23.43;147.4
"07 Apr 2021";25.5;17.3;33.1;0;1;239.08584466677;4.9;205.3;;15.9;897.7;273.1;23.6;147
"08 Apr 2021";28.1;18.8;34.6;0;1.8;99.447077754937;4.5;79.5;;17.8;898.8;258.2;22.31;147.5
"09 Apr 2021";28.9;22.7;33.6;0;2.3;49.749182183493;4.4;29.01;;23.1;897.6;261.4;22.59;147.8
"10 Apr 2021";29.2;25.1;33.9;0;2.2;38.657096452843;8.3;30.56;;20.4;896.9;256.9;22.2;147.7
"11 Apr 2021";29.2;23.9;34;0;3.5;22.366218748313;6.1;31.26;;19.3;898.2;255.6;22.08;147.7
"12 Apr 2021";29.2;22.6;34.1;0;4.2;31.889552353343;7.5;36.42;;18.6;899.7;249.7;21.58;147.5
"13 Apr 2021";29.2;24.1;34.2;0;4.2;30.744558845534;8.8;35.38;;15.4;900.2;257.4;22.24;147.3
"14 Apr 2021";29;25.3;33.7;0;5.6;38.022217795273;9.8;28.9;;14;899.2;260.5;22.51;147.2
"15 Apr 2021";28.7;25.5;33.4;0;3.1;12.022924889153;6.7;28.35;;16;897.5;259;22.38;147.3
"16 Apr 2021";27.1;19.5;32.1;0;1.6;352.82471884562;6.8;9.79;;19.9;897.4;161.6;13.96;147.2
"17 Apr 2021";27.3;24.3;31.7;0;4.6;53.93090138215;9.5;34.72;;21.7;897.5;198;17.1;147.4
"18 Apr 2021";24.9;20.9;29.8;0.3;1.4;45.036079584292;5.9;3.17;;33.1;899.1;192.7;16.64;148.3
"19 Apr 2021";24.6;20.1;29.7;0;2.1;82.703528400334;6.7;101.7;;35.8;899.1;197.5;17.06;148.1
"20 Apr 2021";26.1;22.4;31.1;0;2.1;142.84467062597;6.2;171.7;;23.6;898.4;205;17.71;147.6
"21 Apr 2021";25.8;19.2;32.5;0;1.4;193.24981057301;6.4;209.3;;23.5;897.9;243.2;21.01;147.5
"22 Apr 2021";25.6;18.9;30.8;0;1.1;276.17287890218;5;327.6;;24.3;897.6;221.2;16.72;147.5
"23 Apr 2021";25.7;20.6;31.1;0;0.5;215.10193244501;4.9;240.9;;23.7;897;175.7;15.18;147.5
"24 Apr 2021";25.7;21.6;31.3;0;1.2;266.27289692126;6.9;245.1;;24.4;895.9;214;18.49;147.4
"25 Apr 2021";24.1;18.8;30.3;0;1.4;255.18891186538;5.4;219;;27.4;896;229;19.79;147.4
"26 Apr 2021";22.4;16.4;28.9;0;1.4;249.99762440092;4.5;214.9;;28.8;895.9;227.4;19.65;147.3
"27 Apr 2021";23.3;16.1;30.2;0;1.3;247.58915746684;4.1;248.7;;27.5;894.8;227.7;19.67;147.4
"28 Apr 2021";23.1;16.4;29.5;0;1.3;260.87369912625;4.3;281.1;;25.4;894.5;210;18.14;147.3
"29 Apr 2021";20.4;15.2;25.6;0;1.6;275.07643447723;4.8;302.5;;25.2;895.2;172;14.86;146.9
"30 Apr 2021";20.3;13;27.8;0;0.6;88.084131736646;4.7;84.8;;22.3;895.8;239.3;20.68;146.7
