Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Jul 2020";21.5;16.7;27.2;0;1;41.49333974386;5.9;21.15;;10.4;900.8;193.2;16.69;145.9
"02 Jul 2020";20.9;16.1;27.3;0;0.6;187.81604239781;2.9;323.4;;12.4;901.3;190.8;16.48;146
"03 Jul 2020";21.4;15.5;26.4;0;2.3;89.445077236915;5.4;58.6;;14;902;192.4;16.62;146.1
"04 Jul 2020";21.7;15.7;28.3;0;1.9;143.81616588948;4;181.4;;10.8;902.3;197.2;17.03;146
"05 Jul 2020";22.6;15.7;28.3;0;1.5;88.740763710316;4.4;41.65;;8.4;900.9;196.5;16.98;146
"06 Jul 2020";19.8;13;26.8;0;1.3;293.86094450581;5.2;218.2;;11.1;899.8;197;17.02;145.6
"07 Jul 2020";19.3;12.7;26.3;0;1;224.59883239583;6.6;191.8;;14.2;898.6;196.3;16.96;145.7
"08 Jul 2020";19.8;12.3;27.6;0;3;324.37854882374;11.5;330.4;;11.7;896.3;195.1;16.86;145.6
"09 Jul 2020";16.7;10.9;24.8;0;3.1;307.59363537858;9.1;312.9;;18.2;895.3;194;16.76;145.3
"10 Jul 2020";10.5;7;14.8;4;4.6;292.72451143146;8.7;287.5;;66.7;895.9;152.2;13.15;159.6
"11 Jul 2020";11.2;3.4;20;0.1;2.3;162.8817671779;5.6;183.5;;52.9;899.7;202.6;17.5;154.4
"12 Jul 2020";17.6;10.2;25.3;0;2;299.26623177288;8.7;327.2;;20.3;899.2;201.2;17.38;146
"13 Jul 2020";15.6;8.9;23.8;0;2.5;186.60041287152;5.3;207.7;;23;899.8;203.2;17.56;145.8
"14 Jul 2020";16.9;10.9;23;0;3.4;114.82479978829;7.3;79.04;;13.8;900.9;204.8;17.69;145.5
"15 Jul 2020";17.1;11.5;24.6;0;4.6;108.20372216116;6.4;113.1;;16.5;904;206;17.79;145.8
"16 Jul 2020";20.7;12.9;29;0;4;105.69373935354;10;44.76;;5.9;905;208.6;18.02;145.3
"17 Jul 2020";20.4;15.5;26.4;0;2.7;96.019190639694;6.5;55.02;;6.6;904;210.9;18.22;145.3
"18 Jul 2020";20.2;12.5;27.8;0;1.1;146.50754726576;5.7;78.32;;9.8;902.5;209.2;18.08;145.4
"19 Jul 2020";20.6;12.6;27.5;0;0.5;21.986596352619;6;58.8;;10.2;900.9;209.3;18.08;145.4
"20 Jul 2020";20.1;13.4;26.4;0;1.4;9.9898973277521;5.3;22.65;;11.9;899.8;207.1;17.89;145.5
"21 Jul 2020";19.4;11.9;25.9;0;0.9;286.05650547348;6;339.8;;15;899.9;203.1;17.55;145.7
"22 Jul 2020";20.2;13.8;26.8;0;0.6;130.90022155644;6.4;28.51;;15.3;900.3;204.3;17.65;146
"23 Jul 2020";21.3;15.8;26.1;0;2;86.243434368325;6.4;41.67;;10.8;900.3;208;17.97;145.9
"24 Jul 2020";20.2;15.3;24.6;0;2.7;39.220803484006;8.2;34.99;;12.9;899.6;207.5;17.93;145.9
"25 Jul 2020";19.8;15.8;25.1;0;0.6;26.398348198539;6.7;10.85;;17.2;900.3;208.9;18.05;146.1
"26 Jul 2020";20.5;14.3;25.3;0;1.8;104.76564485084;3.9;57.91;;20.7;900.4;204.7;17.69;146.4
"27 Jul 2020";21;16.9;26.4;0;1.3;69.230212543776;7;32.19;;19.4;899.7;207.8;17.95;146.4
"28 Jul 2020";20.4;13.7;26.5;0;1.3;268.91531281583;6.5;343.6;;18.3;898.5;208.1;17.98;146.3
"29 Jul 2020";20.4;14.7;26.7;0;2.1;199.77139291411;5.4;204.5;;19.7;899;208.3;17.99;146.2
"30 Jul 2020";22.3;15.5;27.1;0;3.9;62.825158015599;9.4;41.13;;13.8;901.8;212.2;18.33;146.1
"31 Jul 2020";22.1;15.7;26.8;0;3.5;47.092165761732;9.1;21.98;;12.5;903.3;214.2;18.51;146.1
