Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Apr 2020";23.8;14.4;32.6;0;1;241.82526876942;5.5;264.7;29.4;26.5;897;277.9;24.01;147.4
"02 Apr 2020";26.4;20.4;33.9;0.2;0.8;183.49587202371;12.7;178;31.2;28.7;896.1;261.9;22.63;147.7
"03 Apr 2020";27;19.8;33.4;0;2.3;205.95809126841;8.3;213.6;31.9;24.5;895.5;273.9;23.66;147.4
"04 Apr 2020";26.6;21.7;33.3;0;1.9;257.48213923801;7.2;232.5;32.3;30;895.6;264.3;22.83;147.7
"05 Apr 2020";24.7;17.9;31.5;0;2.4;285.20454022503;5.9;261.1;30.9;35.3;895.9;259.9;22.45;147.8
"06 Apr 2020";21.1;12.5;28.5;0;1.6;255.63605904351;6.1;192;28.9;36.2;896.3;274.8;23.74;147.4
"07 Apr 2020";21.6;12.9;29.6;0;1.4;262.23949555186;4.9;245;27.7;24.5;895.7;270.9;23.4;146.9
"08 Apr 2020";22.7;15.9;30;0;1.5;268.79663642157;4.8;292.7;28;22.3;895.7;270.4;23.36;146.9
"09 Apr 2020";25.9;18.4;33.2;0;1.7;211.38755238907;6.3;191.9;29.6;16.5;896.6;262.9;22.72;147.1
"10 Apr 2020";26.8;19.2;33.6;0;1.4;240.59675689874;5.7;200.3;31.3;23.1;897.3;260.1;22.47;147.4
"11 Apr 2020";26.2;18.4;32.8;0;1.7;239.96089901971;7.7;200.7;31.5;30.6;897.5;256.1;22.13;147.7
"12 Apr 2020";26.1;18.6;32.3;0;2.1;217.10173481976;7.4;209.3;31.7;30.2;897.1;247.1;21.35;147.8
"13 Apr 2020";24;18.2;30.6;0;2.3;233.62465826022;7.5;202.5;29.9;24.9;896.5;252.8;21.84;147.2
"14 Apr 2020";21.5;14.9;28.7;0;0.8;257.34105144184;4;201.1;27.9;31.7;896.1;262.5;22.68;147.3
"15 Apr 2020";22.4;15.9;30.6;0;1.1;206.97395249154;6.9;218.3;27.2;13.8;896.5;262.7;22.7;146.6
"16 Apr 2020";22.9;16.2;31.1;0;1.3;235.37071247936;5.8;253.3;27.1;14.2;895.8;249.5;21.56;146.4
"17 Apr 2020";22;16.3;28.3;0;2.2;278.30179163042;5.7;300.4;26.4;19.2;894.7;257.2;22.22;146.6
"18 Apr 2020";24.9;15.1;34.2;0;1.3;285.63916291615;7.1;319.8;26.9;16.3;896.3;246.8;21.32;146.7
"19 Apr 2020";26.7;19.9;34.2;0;1.7;284.07295425082;7;242.5;29.9;26.5;899;240;20.74;147.4
"20 Apr 2020";24.1;20.4;29.8;3.3;0.9;228.37612291591;5.8;62.65;29.4;47;900.1;197.7;17.08;153.4
"21 Apr 2020";23.9;20.9;29.2;8.7;1.4;71.464550200199;8.4;341.8;24.5;51.2;899.3;127.6;11.03;152
"22 Apr 2020";25.7;21.8;30.4;0;0.9;111.79930358573;7.3;181.9;24.6;40.4;898.1;185.3;16.01;148.7
"23 Apr 2020";24.3;20.5;29.2;0;2.7;214.43628320477;12;185.9;26.7;39;897.5;203.9;17.62;148.3
"24 Apr 2020";22.9;18.9;27.5;0;2;223.61859261674;8.1;180.2;25.8;41.5;895.5;193.9;16.75;148.2
"25 Apr 2020";21.4;16.4;27.7;0;1.3;245.64548884806;5.3;294.4;25.2;43.3;895.1;235.9;20.38;148.2
"26 Apr 2020";21.9;15.5;29;0;1.3;271.41523918721;5.4;276.6;24.9;39.2;896.5;232.4;20.08;148.1
"27 Apr 2020";21.8;15.2;29;0;1.6;282.59624551469;5.6;298;24.8;35.2;897.4;234;20.22;147.8
"28 Apr 2020";22.9;17.8;29.6;0;0.4;28.856238595997;5.2;265.2;25.1;31.6;898;232.7;20.1;147.7
"29 Apr 2020";22.4;16.2;29.3;0;1.1;276.99233250098;4.8;270.8;25;24.8;899;236.9;20.47;147.3
"30 Apr 2020";23.6;15.3;31.8;0;1.1;241.59994220446;5.2;243.9;25.1;19.6;900.1;235.1;20.32;147.1
