Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 May 2026";;;;;;;;;;;;;;
"02 May 2026";;;;;;;;;;;;;;
"03 May 2026";;;;;;;;;;;;;;
"04 May 2026";;;;;;;;;;;;;;
"05 May 2026";;;;;;;;;;;;;;
"06 May 2026";;;;;;;;;;;;;;
"07 May 2026";;;;;;;;;;;;;;
"08 May 2026";;;;;;;;;;;;;;
"09 May 2026";;;;;;;;;;;;;;
"10 May 2026";;;;;;;;;;;;;;
"11 May 2026";;;;;;;;;;;;;;
"12 May 2026";;;;;;;;;;;;;;
"13 May 2026";;;;;;;;;;;;;;
"14 May 2026";;;;;;;;;;;;;;
"15 May 2026";;;;;;;;;;;;;;
"16 May 2026";;;;;;;;;;;;;;
"17 May 2026";;;;;;;;;;;;;;
"18 May 2026";;;;;;;;;;;;;;
"19 May 2026";23.3;17.9;26.2;0;2.7;282.92739842232;4.2;284.5;;34.9;898.9;319.2;17.24;146
"20 May 2026";19.2;12.6;26.4;0;1.7;285.5613817486;5.7;297.3;;44.4;898.6;188.6;16.29;146.2
"21 May 2026";19.6;13.4;26;0;1.4;250.08799125281;4;225.1;;34.4;899;182.1;15.73;145.8
"22 May 2026";19.1;13;25.9;0;1.4;262.42194470953;4.8;284.2;;32.1;899.2;194.3;16.79;145.6
"23 May 2026";20;13.6;27.1;0;1.6;266.67321437779;5.6;285.4;;29.3;899.7;189.9;16.41;145.5
"24 May 2026";21.2;15.1;28.4;0;1.3;253.74061875391;4.3;311.6;;28.6;900.5;189.2;16.35;145.5
"25 May 2026";21.9;16;28.7;0;1.6;231.27701226264;3.2;287.6;;24.4;901;188.3;16.27;145.3
"26 May 2026";22.1;16.7;28.8;0;1.3;245.70544822767;4;229.4;;24.3;900.5;185.6;16.04;145.3
"27 May 2026";22;16.4;29;0.5;1.4;231.1292140696;4.2;229.3;;25.9;900;182.3;15.75;145.4
"28 May 2026";22.1;16.3;28.8;0.1;1.5;219.75657436737;5;177.3;;25.6;900.7;183.2;15.83;145.4
"29 May 2026";22.6;17.4;29.1;0;1.2;247.16377625979;5.1;190.4;;24.4;901;183.6;15.86;145.3
"30 May 2026";22.1;16.4;28.8;1;1.2;217.8075559201;4.3;180.4;;26.3;900.4;182.4;15.76;145.4
"31 May 2026";21.5;15.4;28.2;0;1;271.63788716194;4.7;337.6;;24.5;899.6;180.6;15.61;145.2
