Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Jun 2026";21.7;16.2;27.9;0;1.2;270.14753954526;5.7;348.1;;22.7;899.7;187.4;15.51;145.1
"02 Jun 2026";;;;;;;;;;;;;;
"03 Jun 2026";;;;;;;;;;;;;;
"04 Jun 2026";;;;;;;;;;;;;;
"05 Jun 2026";;;;;;;;;;;;;;
"06 Jun 2026";;;;;;;;;;;;;;
"07 Jun 2026";;;;;;;;;;;;;;
"08 Jun 2026";17;17;17;0;0.8;170.60000000968;0.8;170.6;;12.5;901;0.1;0;143.6
"09 Jun 2026";19;10;27.6;0;1;248.21744433025;3.8;258.4;;12.5;899.8;187.2;16.18;144
"10 Jun 2026";20.2;14.1;28;0;1.3;263.75436582296;4.3;302.4;;9.2;897.9;197.7;16.37;144.1
"11 Jun 2026";16.9;16.9;16.9;0;1.2;201.20000000968;1.2;201.2;;7.3;900;1;0;143.2
"12 Jun 2026";20.4;13.2;28.2;0;1.3;223.31834974772;3.6;189;;9.2;900.4;184.2;15.91;143.9
"13 Jun 2026";20.1;14.7;27;0;1.3;226.2263326278;3.2;307.4;;13.5;900.6;181.1;15.65;144.1
"14 Jun 2026";20.5;14;28;0;1.6;199.72482738705;4;199.9;;15.2;900;182.6;15.12;144.3
"15 Jun 2026";;;;;;;;;;;;;;
"16 Jun 2026";;;;;;;;;;;;;;
"17 Jun 2026";8.3;8.3;8.3;0;3.2;194.90000000968;3.2;194.9;;67.7;899;0.8;0;145.4
"18 Jun 2026";9.9;5.2;14.2;1;1.6;261.74724601042;5.6;274.3;;62.5;896.5;149.8;12.94;146
"19 Jun 2026";9.8;7.7;12.8;0.1;0.7;267.93172784595;5.2;163.1;;81.8;894.1;80.6;6.96;153.4
"20 Jun 2026";11.4;5.8;17.5;0;1.8;302.31708756437;6.5;323.1;;57.6;895;145.6;12.05;146.9
"21 Jun 2026";;;;;;;;;;;;;;
"22 Jun 2026";;;;;;;;;;;;;;
"23 Jun 2026";14.7;14.7;14.7;0;1.4;184.60000000968;1.4;184.6;;40.8;898;1.4;0.01;145
"24 Jun 2026";17.5;11.8;24.3;0;1.6;289.88642545592;5.1;299.6;;28.3;897.2;180.1;14.91;144.9
"25 Jun 2026";;;;;;;;;;;;;;
"26 Jun 2026";;;;;;;;;;;;;;
"27 Jun 2026";;;;;;;;;;;;;;
"28 Jun 2026";;;;;;;;;;;;;;
"29 Jun 2026";12.8;12.8;12.8;1.6;1.8;197.20000000968;1.8;197.2;;40.5;898;0.8;0;144.9
"30 Jun 2026";15.2;7.6;21.3;0.3;1.3;291.80000324028;3.3;323.8;;34.4;897.3;178.6;14.78;145.1
