Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Feb 2020";28.8;20.6;36;0;2.2;247.37638090656;5.9;213.1;37.4;21.8;894.8;327.9;28.33;147.4
"02 Feb 2020";28.9;22;36.4;2.4;2.5;255.78375915104;6.9;177;35.2;28.6;895.6;279.3;24.13;149
"03 Feb 2020";30.3;23.1;37.5;0;1.5;265.15294693218;8.7;133.8;36.4;24.8;895.1;272.5;23.54;147.8
"04 Feb 2020";30.8;22.8;36.1;1.3;1;341.70158692327;8.2;184.1;36.7;27.1;894.2;275;23.76;149.9
"05 Feb 2020";24.7;15.6;31;0.1;2.8;273.84173164806;6.4;309.9;34.4;53.5;894.5;333.4;28.8;149
"06 Feb 2020";25.7;19.1;32.6;0;2.6;271.62702388438;6.7;240.2;35.2;43.2;894;336.2;29.05;148.5
"07 Feb 2020";24.6;18.9;31.4;0;2.6;266.91212162354;5.4;221.8;34.4;39.2;894.7;337.8;29.18;148.2
"08 Feb 2020";22.2;14.5;29;0;2.9;281.44766448334;5.3;288.9;32.5;39.3;895.5;348.7;30.12;147.7
"09 Feb 2020";23.8;13.7;33.4;0;2.3;221.55494274875;7.1;206.1;32.7;35.4;895.4;356.4;30.8;147.8
"10 Feb 2020";26.2;16.8;35.3;0;3;267.07788136988;6.9;250.9;34.3;34.3;894.2;344.7;29.78;147.9
"11 Feb 2020";24.5;16.2;32.8;0;3.5;294.98200204652;7.2;299.5;34;41.7;894.5;336;29.03;148.3
"12 Feb 2020";26.6;19.3;34.1;0;2.7;240.62226753424;7.4;183.2;34.9;25.7;895.7;333.4;28.81;147.8
"13 Feb 2020";28.3;20.2;35.8;0;2.6;204.87021970843;9.2;224.6;35.6;24.1;894.6;301.8;26.08;147.8
"14 Feb 2020";30.5;24.8;36.5;0;2.1;243.94377132935;8;228.1;37.8;25.7;893.2;330.2;28.53;148.1
"15 Feb 2020";29;24.1;34.6;0;2.4;235.01643842151;6.7;208.8;38;26.4;893.4;319.8;27.63;148
"16 Feb 2020";27.2;21.8;32.9;0;3.1;207.3645716101;7.6;188.3;35;23;894.8;191.5;16.55;147.5
"17 Feb 2020";26.7;21.6;33.4;0;3.1;209.7468365388;8.3;210.4;35.2;27.6;895;308.1;26.62;147.7
"18 Feb 2020";25.4;18.8;32.5;0;2.7;273.16799808096;6.1;266.6;34.4;24.6;894.7;320.5;27.69;147.4
"19 Feb 2020";26.3;19.4;33.3;0;2.4;277.86287000504;6.4;222;35;27;894.3;311.9;26.95;147.6
"20 Feb 2020";26.9;22;33.3;0;2.9;271.97350600438;6.9;253.1;35.6;21.2;894.5;282.5;24.41;147.5
"21 Feb 2020";27.8;23;34.1;0;2.5;275.78107405089;6.2;276.4;36.7;28;894.4;293.1;25.32;147.9
"22 Feb 2020";28.2;23.4;33.9;0;2.4;240.90285006783;7.1;229.3;36.9;31;894.1;274.8;23.74;148.1
"23 Feb 2020";28.3;23.4;33.9;0;0.7;66.537400093131;10;207.5;36.3;34.5;893.5;240.7;20.79;148.1
"24 Feb 2020";27.9;21.9;34.3;0;0.4;230.23569675077;6.6;250;35.5;39.8;894.7;259.2;22.39;148.4
"25 Feb 2020";27.3;22.9;33.7;3.9;1.2;240.94142076516;8.2;213.8;33.3;43.3;893.8;260.4;22.5;150.1
"26 Feb 2020";25.8;19.3;32;0;2.5;247.0332552236;7;192.3;32.7;49.4;893.9;316.8;27.37;148.9
"27 Feb 2020";27.9;20.9;34.8;0;3.7;168.94170081456;12.5;187.6;34.9;32.9;894.3;316.9;27.38;148.3
"28 Feb 2020";28.9;23.8;35.1;0;0.4;314.10024307873;7.2;288;36.1;26.2;893.8;297.7;25.72;147.9
"29 Feb 2020";25.4;21.8;32.2;4.2;0.9;230.9160591418;8.4;305.2;33.1;43.9;894.4;221.4;19.13;150.6
