Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Apr 2025";24.5;19.1;30.8;0;2;285.45061006871;5;276.4;;28.6;894.7;258.7;22.35;147
"02 Apr 2025";24.1;18.6;29.9;0;1.6;290.15205817949;5.2;273.8;;27.9;894.3;257.2;22.22;146.9
"03 Apr 2025";24.6;21.3;29.7;1.2;0.5;249.8980110602;5.7;247.6;;48.3;896;175.1;15.13;149
"04 Apr 2025";26.1;21.5;32.4;0;2.6;197.02309887319;7.4;219.8;;49.6;895.9;242.1;20.92;148.9
"05 Apr 2025";24.2;19.2;30.2;0;1.9;258.73799028134;5.5;258.7;;48.3;893.6;242.2;20.92;148.3
"06 Apr 2025";22.1;18.7;26.7;0;2.8;297.06979562082;6.4;326.5;;53.2;893.1;219.4;18.95;148.3
"07 Apr 2025";20.9;17.4;26.1;1;3.4;295.70866839688;6.3;292;;59.1;895.3;216.2;18.68;149.2
"08 Apr 2025";19.9;15.2;25.1;0.2;1.6;242.11531401686;5.9;194.7;;52.7;897.2;246.3;21.28;148.3
"09 Apr 2025";21.5;15.6;28.1;0;1.8;290.75253848084;6.9;324.1;;36.3;896.8;258.3;22.32;147.5
"10 Apr 2025";22.3;15.1;29.6;0;1.7;254.01176357858;5;227.3;;31.9;895.8;254.4;21.98;147.2
"11 Apr 2025";24;16.7;31.8;0;1.5;283.40142285876;5.9;285.8;;28.7;895.4;256.5;22.16;147.1
"12 Apr 2025";24.1;17.5;31.7;0;1.4;256.79366238673;5;320.8;;25.1;896.4;253.6;21.91;146.8
"13 Apr 2025";25.5;19.4;32.3;0.1;1.8;224.86191305772;6.3;224.8;;28.7;897.7;247.1;21.35;147.1
"14 Apr 2025";25.1;19.9;31.6;0;2.1;229.92519363301;5.7;280.2;;30.3;897.5;238.6;20.61;147.1
"15 Apr 2025";22.8;16.6;29.6;0;2.2;291.3434953561;7.2;302.5;;31.2;896.4;244.7;21.14;146.9
"16 Apr 2025";23.3;16;30.4;0;1.7;311.76526827639;5.8;18.23;;26.7;896.2;245.5;21.21;146.7
"17 Apr 2025";24.2;17.7;30.9;0;2;301.24106920595;6.7;299.3;;31.5;896;238.1;20.57;147
"18 Apr 2025";23;15.6;30.4;0.2;2.4;304.62934152187;7.6;330.6;;38.8;895.9;237.3;20.5;147.2
"19 Apr 2025";23.2;16.7;31;0;1.9;284.82573650322;7.6;336.3;;40.8;895.8;236.1;20.4;147.5
"20 Apr 2025";23.1;16.5;30;0;1.8;270.44600472602;5.4;319.1;;37.6;894.6;230.7;19.94;147.3
"21 Apr 2025";22.4;17.1;29.4;0;2.7;294.75796313051;8.2;297.4;;38.2;893.6;210.7;18.2;147.3
"22 Apr 2025";19.2;12;26.3;0;1.8;267.39935844576;4.6;313.7;;34.5;895.4;241.1;20.83;146.5
"23 Apr 2025";19.8;12.2;27.8;2.7;1.7;174.33899123441;4.2;209.8;;25.6;896.1;244;21.08;146.2
"24 Apr 2025";23.5;16.3;30.8;0;0.5;142.96010557403;4.5;210.8;;15;896;240.3;20.76;146
"25 Apr 2025";24.9;18.8;31.7;0.3;0.8;192.35077169889;4.9;227.3;;21.4;897.1;231.3;19.98;146.4
"26 Apr 2025";25.3;18.8;31.6;0;0.8;255.2299519851;5;225.3;;29.1;897.4;224.8;19.42;147
"27 Apr 2025";26.3;21.1;32;0;0.8;229.07196138702;5.7;197.9;;29.6;897;221.3;19.12;147.2
"28 Apr 2025";26.2;20.7;33.1;0;1;206.83961199709;7.2;215.4;;24.8;896.8;217.2;18.76;147
"29 Apr 2025";25.9;20.4;31.9;0;1.7;233.73750617254;4.5;186.7;;28;895.8;196.7;16.99;147
"30 Apr 2025";24;19.4;29.4;0;2.1;235.55713305192;5.4;190.8;;36.7;894.8;206.2;17.81;147.5
