Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Dec 2021";25.2;17;32.1;0;2.3;235.18609516912;5.8;199.4;;12.2;893.5;374.1;32.32;145.9
"02 Dec 2021";24.7;17.7;31.1;0;2.4;282.45136903529;4.9;293.9;;15.5;893.4;365.4;31.57;146.1
"03 Dec 2021";23.6;18.8;28.7;0;3.8;287.68313091886;7.1;288.1;;17.3;893.4;295.2;25.5;146.2
"04 Dec 2021";16.8;10.6;23.7;0;2.7;245.35617057461;7.7;181.9;;45.9;895.5;380.4;32.87;146.8
"05 Dec 2021";19.7;9.1;28.1;0;2;233.10592011871;6.3;187.8;;38.3;895;380.8;32.9;146.7
"06 Dec 2021";23.5;14.5;30.5;0;1.7;295.47210234211;6.7;25.25;;24.5;894.8;379.6;32.79;146.6
"07 Dec 2021";23.6;14.4;31.7;0;1.9;269.92800388511;5.1;274.2;;19.7;896.1;377.8;32.64;146.3
"08 Dec 2021";25.5;16.4;33.4;0;2;253.56649578011;5.9;280.2;;17.7;895.6;380.9;32.91;146.4
"09 Dec 2021";25.8;16.9;33.6;0;2.1;281.51249511544;5;286.5;;15.2;894.5;373.3;32.25;146.4
"10 Dec 2021";26;17.4;32.8;0;2.8;290.0483376343;6.4;287.2;;12.8;894;377;32.57;146.2
"11 Dec 2021";26.6;16.8;34.6;0;2.1;250.6008205565;5.5;229.8;;8;893.4;372.9;32.22;146
"12 Dec 2021";26.8;18.7;34.3;0;2.3;272.42802647933;6.1;277.6;;8;893.5;379.1;32.75;146
"13 Dec 2021";26.2;17.5;33.8;0;2.3;253.39832601269;6.3;211.2;;10.1;894.1;371.8;32.13;146.1
"14 Dec 2021";24.3;15.4;31.6;0;2.7;286.36535026651;6.5;283.1;;13.8;893.6;376.7;32.55;145.9
"15 Dec 2021";22.2;13.8;28.7;0;2.7;277.96021383872;6.6;289.5;;14.5;892.7;378.2;32.68;145.7
"16 Dec 2021";23.9;12.3;33.1;0;1.6;263.2808732442;7;270.9;;21.7;892;379.6;32.8;146.2
"17 Dec 2021";23;16.3;29.5;0;2.8;287.99188847956;5.9;290.2;;22;893;366.5;31.66;146.1
"18 Dec 2021";20;10.2;28.2;0;2.4;287.07258097753;4.9;232.5;;37.5;894.4;374.4;32.35;146.6
"19 Dec 2021";22.7;14.1;29.7;0;2.7;283.29101243902;6.4;289.7;;24.9;894;380.7;32.9;146.7
"20 Dec 2021";23.7;15.1;31.3;0;3.7;299.38033798236;7.2;293.6;;27.4;893.5;366.7;31.68;146.9
"21 Dec 2021";24.5;17.9;33.6;0;4.2;296.91575122674;11.4;312.7;;25.8;894.2;367.1;31.71;146.7
"22 Dec 2021";20.7;13.4;28;0;3;279.18174904843;6.3;282.2;;26.9;893.5;381.1;32.93;146.2
"23 Dec 2021";20.9;10.4;28.6;0;2.2;276.89219127336;4.9;287;;25.6;892.8;381.3;32.94;146.2
"24 Dec 2021";21.8;13.3;29.4;0;2.2;276.27090369239;6;237.9;;35.8;892.9;374.7;32.37;147.1
"25 Dec 2021";20.5;10.2;28.4;0;2.5;283.32820409691;5.7;225.4;;38.4;893.1;375.8;32.47;146.6
"26 Dec 2021";20;12.3;26.7;0;2.7;267.94005156297;6.9;228.2;;38.8;892.9;356.5;30.8;147.2
"27 Dec 2021";18.4;10.1;25.7;0;2.6;273.95719277293;5.7;286.6;;46.7;894.4;367.1;31.72;149.2
"28 Dec 2021";20.7;10.1;29;0;2;255.39243523753;6.7;212.4;;42.4;894.8;371.1;32.06;144.7
"29 Dec 2021";21.9;12.8;29.7;0;1.8;259.8559217515;6.2;196.8;;37.9;894.9;367.5;31.75;147.4
"30 Dec 2021";23;14.1;30.3;0;2.4;274.78322608472;5.7;229.9;;30.7;894.7;365.8;31.61;147.4
"31 Dec 2021";22.7;15.4;30.4;0;2.3;260.97988110618;5.4;260.5;;19.1;896.1;371.7;32.12;146.6
