Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Feb 2024";30.9;26.2;36.5;2.4;1.3;150.08626375643;5.7;66.56;;30.8;897.3;212.7;18.38;149.1
"02 Feb 2024";27.5;23.8;34.4;3;0.8;42.128689483475;7.2;131.3;;49.7;896.5;220.8;19.08;148.9
"03 Feb 2024";27.3;20.9;35.2;0;1.7;267.4751471801;8.6;265;;50.8;895.2;280.8;24.26;148.8
"04 Feb 2024";27.9;21.9;34.4;0;1.9;234.96459961522;7;156.4;;45.1;896.1;293.2;25.33;148.6
"05 Feb 2024";28.5;22.3;36.2;0;2.8;264.56259598559;7.8;235.5;;34.4;897.1;320.6;27.7;148.2
"06 Feb 2024";29.4;23.4;36.7;0;2.5;229.66490803769;9.4;222.5;;27.3;896.3;293.9;25.39;147.8
"07 Feb 2024";28.4;23.9;33.8;0;2.7;278.6816774288;7.1;288.7;;24.1;897.4;306.4;26.47;147.3
"08 Feb 2024";28.9;21.9;35.9;0;2.1;234.19504158396;7.4;189.3;;24.9;897.1;296.4;25.61;147.6
"09 Feb 2024";30.7;24.8;37.6;0;3.2;209.23576522271;8.1;184.3;;15.3;896.3;316.2;27.32;147.3
"10 Feb 2024";31.6;24;38.9;0;1.4;215.95787835909;7.9;229.5;;13.2;895.6;320.5;27.7;147.2
"11 Feb 2024";31.1;23.8;39.1;0;2.5;269.77860302651;7.6;253.2;;12.1;896.3;320.8;27.71;147
"12 Feb 2024";31;23.9;38.3;0;2.4;238.53743545893;8.6;218.6;;10.2;897.2;321.2;27.75;146.8
"13 Feb 2024";31.3;23.2;40.2;0;2.5;210.15353343854;9.5;195.7;;8.4;896.6;324.6;28.04;146.7
"14 Feb 2024";31.8;24.6;39.7;0;2.4;248.7186332098;8.3;263;;10.8;895.7;318.9;27.55;146.8
"15 Feb 2024";28.4;20;37;0;2.7;205.00491883831;7.8;200;;17.7;893.8;323;27.91;146.6
"16 Feb 2024";25;17.3;31.6;0;2.7;280.54448020712;5.9;271.7;;24.8;893.2;328.6;28.39;146.6
"17 Feb 2024";23.5;14.8;31.2;0;2.4;283.09124702034;6;282;;22.5;895.3;333.2;28.79;146.3
"18 Feb 2024";26.2;16.3;35.6;0;1.8;264.2614846414;5.8;280.7;;15.3;896;329.5;28.47;146.3
"19 Feb 2024";29;19.6;38.3;0;1.9;230.89171312769;6.5;224.6;;15.2;895.8;320.1;27.66;146.7
"20 Feb 2024";30.3;21.3;37.9;0;2.2;247.85165478493;7.5;224.7;;19.1;895.9;314;27.13;147.1
"21 Feb 2024";32.5;26.6;37.9;0;2.3;228.68202446652;5.9;208.2;;10.9;893.9;272.7;23.56;146.9
"22 Feb 2024";31.9;24;39;0;2.2;226.84793292608;6.7;258.3;;11.3;891.8;314.1;27.14;146.8
"23 Feb 2024";30.2;23.8;37.2;0;2.5;263.48018111337;6.7;237.5;;7.6;891.9;312.2;26.97;146.3
"24 Feb 2024";26.9;20.6;34.2;0;2.3;276.33005174495;5.4;279.3;;11.2;894.4;306.4;26.47;146.1
"25 Feb 2024";26.8;17.9;35.3;0;1.7;266.77250376469;5.7;265.8;;20.3;896;319.7;27.62;146.6
"26 Feb 2024";27.6;20.2;35.4;0;2;274.53794246544;7.1;273;;21.9;895.5;316.4;27.34;146.9
"27 Feb 2024";28.8;19.8;36.7;0;2;234.65223138767;6.3;197.5;;15.1;895.2;315.4;27.25;146.7
"28 Feb 2024";30.6;24.1;37.4;0;2.3;229.19710306825;6.6;204.2;;11.3;895;279.5;24.15;146.6
"29 Feb 2024";28.7;21.3;35;0.1;2.1;250.85841712252;7.6;202.7;;26.1;895.2;306.9;26.52;147.3
