Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Mar 2022";23.6;14.9;31.9;0;1.7;230.77585062023;6.8;193.5;;30.8;894.2;328.2;28.35;147.5
"02 Mar 2022";24.1;15.8;31.5;0;2.6;211.94409925235;6.9;223.5;;23.3;894.1;307.2;26.54;147.1
"03 Mar 2022";22.6;16.7;28.5;0;2.3;235.46520690998;5.4;242.6;;16.5;894.5;321;27.73;146.6
"04 Mar 2022";20.2;11.3;27.3;0;1.6;271.57296493702;4.3;283.3;;28.8;893.5;325.1;28.09;146.7
"05 Mar 2022";22.7;13.1;30.8;0;1.8;295.21208642148;6.9;329.4;;27.3;893.3;318.1;27.48;147
"06 Mar 2022";25;17.5;32.7;0;2.1;225.14972622694;8.1;193.9;;28.2;893.3;310.5;26.83;147.3
"07 Mar 2022";26;18.8;33.7;0;2.1;211.15943617617;8.2;225.4;;31.2;893.2;287.7;24.86;147.6
"08 Mar 2022";27.2;19.6;34.4;0;1.6;195.10763029727;8.1;228.2;;32.2;893;241.7;20.88;147.8
"09 Mar 2022";27.9;22.5;34.9;0;2.1;234.82667422325;6.2;246.7;;31.9;892.8;309.1;26.7;148
"10 Mar 2022";28;22;35.9;11.4;2.1;102.94784479419;7.5;219.4;;39.2;893.5;294.5;25.45;155.9
"11 Mar 2022";27.7;23.3;33.8;0;1.4;215.6608653542;8;203.2;;48.9;894.2;284.8;24.6;149.4
"12 Mar 2022";27;22.5;32.4;0;1.1;305.79564880923;6.6;176.9;;54.1;892.5;267.8;23.14;149.8
"13 Mar 2022";23;16.6;28.2;0;1.9;243.94885195848;7.6;186.7;;55.6;891.6;206.3;17.82;149.3
"14 Mar 2022";22.8;16;31.1;0;1.1;219.48269581747;7.5;238.1;;41.1;892.8;304.1;26.27;148.4
"15 Mar 2022";24;17.4;31.4;0;2.4;190.70744848531;7.1;210.5;;35;894.8;298.2;25.76;148.1
"16 Mar 2022";23.7;17.3;31;0;1.7;275.19206761157;5.8;275.2;;33.6;894.1;291;25.14;148.1
"17 Mar 2022";24.4;16;32.2;0.8;1.5;20.657989092658;7.2;31.96;;29.8;893.7;252.4;21.81;149.3
"18 Mar 2022";25.1;19.4;31;0.6;2.1;171.39417541998;9.3;173.6;;41.6;895.9;159.1;13.75;150.8
"19 Mar 2022";26.3;20.1;31.5;0;1.8;136.55313737254;6.2;163.8;;40.7;896.6;236.1;20.4;148.8
"20 Mar 2022";26.8;20;33.4;0;1.6;168.37778534206;9;177.5;;43.7;895.8;278.2;24.03;149
"21 Mar 2022";27;18.5;33.7;11.3;0.5;341.85620711968;8;168.4;;48.8;895.4;269.4;23.27;154.8
"22 Mar 2022";25.6;19.5;31.5;1.2;0.7;246.61831277365;6.8;208.5;;59.5;895.6;277;23.94;152.3
"23 Mar 2022";25.1;21.5;30.6;0;2;294.39840885593;7.1;308.1;;57;895.1;250.1;21.61;149.7
"24 Mar 2022";23.9;20;29.9;0;1.6;297.39255919192;6.2;239.2;;57.3;894.8;275.1;23.77;149.5
"25 Mar 2022";23.3;19.9;28.5;0;0.8;223.59916803893;7;137.5;;57.6;894.1;230.4;19.9;149.5
"26 Mar 2022";23.7;17.7;30;0;1.4;273.60423734147;4.8;279.8;;49.6;894.5;273;23.59;149.2
"27 Mar 2022";25;18.4;31.5;0;1.2;318.79584019277;5.1;344.5;;33.2;896.1;273.6;23.64;148.2
"28 Mar 2022";24.5;17.9;31.8;0;1.2;312.92542690447;5.9;338;;30;895.5;272.4;23.53;148.1
"29 Mar 2022";23.2;16.2;30.3;0;1.5;274.86057515058;5.2;311;;38.8;894.3;267.8;23.14;148.4
"30 Mar 2022";25.1;18.7;31.8;0;1.4;253.3603805682;4.2;220.1;;33.1;893.2;247.9;21.42;148.3
"31 Mar 2022";25.8;21.1;32.2;0;1.7;253.09051406642;5;219.8;;36.1;894.8;256;22.12;148.5
