Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Jan 2025";27.5;19.6;35.8;0;2.7;254.26890064264;8.1;192.1;;18.4;892.5;345.9;29.89;145.7
"02 Jan 2025";28.4;20.1;37.2;0;2.4;252.98482130864;8.3;250.8;;27.1;891.6;301.8;26.07;146.3
"03 Jan 2025";24.1;18;33.9;5.5;2.9;291.4442694787;7;295;;46.5;893.7;232.4;20.08;151.4
"04 Jan 2025";23.4;18.5;29.2;2.5;2.1;276.13814748622;5.2;313;;66.4;893.2;273;23.58;157
"05 Jan 2025";24.2;19.3;30.6;0;3.5;274.16614330868;6.9;255.1;;41.7;891.8;351.2;30.35;147.7
"06 Jan 2025";23.6;16.8;30;0;3.2;271.58182211917;6.3;188.7;;44.8;892.8;347.3;30.01;147.6
"07 Jan 2025";23.9;18;29.7;0;3.5;287.23011693214;5.7;266.8;;31.4;893.7;350;30.24;146.8
"08 Jan 2025";25.1;17.9;33;0;3.2;281.53083235912;6.3;258.3;;31.8;893.4;342.1;29.55;146.9
"09 Jan 2025";25.7;18.2;33.7;0;3;271.82034430932;6.5;259.6;;28.3;892.7;362.8;31.34;146.7
"10 Jan 2025";26.3;17.2;35.2;0;2.7;259.03586083282;7.2;252.1;;30.5;893.2;360.4;31.14;146.8
"11 Jan 2025";26.8;18.2;35.4;0;2.6;245.60400656209;7.1;219;;33.1;894.2;355;30.67;147.1
"12 Jan 2025";26.8;17.4;34.4;0;2.7;272.36426748137;6.7;281.4;;29.1;894;362.3;31.3;146.8
"13 Jan 2025";27.2;18.6;36.2;0;2.4;257.07945524187;7.4;244.4;;26.2;892.1;364.6;31.5;146.6
"14 Jan 2025";24.9;15.4;32.6;0;2.8;271.43385101737;5.7;264.9;;29.5;890.4;370.2;31.99;146.4
"15 Jan 2025";21;13.1;29;0;3.8;279.98048048044;6.6;280.1;;49.8;891;357.8;30.91;147.3
"16 Jan 2025";21;14.6;27.6;0;3.4;290.53054781384;5.7;283.3;;45.1;892.6;354.4;30.62;146.8
"17 Jan 2025";23.3;14.2;32.1;0;2.7;290.02911495621;6.6;275.6;;30.6;894.9;372.4;32.18;146.4
"18 Jan 2025";23.2;13.8;30.8;0;2.7;284.40233434425;6.8;280.5;;27.9;895.7;370.3;31.99;146.3
"19 Jan 2025";24.3;14.2;32.5;0;2.1;270.46050942869;5;243;;26.5;895.3;361.6;31.24;146.3
"20 Jan 2025";27.7;18.8;36.5;0;3;223.14731629477;7.9;226;;16.9;893.8;362.9;31.35;146.1
"21 Jan 2025";27.7;19.9;36.2;0;3.4;288.60132436142;7.3;290.9;;23.2;893.3;283;24.45;146.3
"22 Jan 2025";25.8;22.4;31.4;0;3.5;283.94368817112;6.9;293.7;;39;894.9;288.2;24.9;147.1
"23 Jan 2025";27;19;34;0;2.5;238.61514105947;8.8;193.6;;40.2;894.4;288.4;24.92;147.5
"24 Jan 2025";28.3;22.3;34.5;0;3.2;280.36111885415;6.8;288.6;;31.9;893.9;343.8;29.7;147.1
"25 Jan 2025";27.8;20.9;34.8;0;3.2;277.52418117544;6.5;279.6;;31.5;894.7;338.3;29.23;147.1
"26 Jan 2025";27.2;18.6;36.5;0;2.5;248.41987630672;9;177.5;;40.1;894.6;339.4;29.32;147.4
"27 Jan 2025";28.4;21.4;37.3;0.3;2.2;252.81411154222;10.2;212.6;;33.4;893;251.5;21.73;146.9
"28 Jan 2025";27.8;23.1;32.9;0.5;2.5;272.68042067876;6.9;265.5;;39.6;893.1;240.6;20.79;147.8
"29 Jan 2025";25.4;19.4;31.2;0;2.6;283.99602202868;4.6;297.3;;44.5;894.8;330.3;28.54;147.3
"30 Jan 2025";26.6;19.5;33.8;0;2.3;240.33560998252;7.1;210.5;;36.6;894.7;334.9;28.93;147.2
"31 Jan 2025";27.6;21.7;35;0;3.1;225.78375629543;8.1;189.2;;23.1;893;328.7;28.4;146.5
