Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Sep 2025";23.8;23.8;23.8;0;1.9;189.10000000968;1.9;189.1;;13.2;901;1.1;0;144.5
"02 Sep 2025";28.1;22.1;35.4;0;1.4;239.38879400282;5.8;201.5;;10;900.5;236;20.39;145
"03 Sep 2025";28.6;23.4;34.7;0;2.5;98.78183673117;8.5;51.25;;8;900.8;223.6;18.51;144.8
"04 Sep 2025";;;;;;;;;;;;;;
"05 Sep 2025";;;;;;;;;;;;;;
"06 Sep 2025";17.3;17.3;17.3;0;2.8;290.30000001937;2.8;290.3;;33.7;897;2.6;0.01;144.6
"07 Sep 2025";17.1;9.8;26.3;0;2.1;303.30937020437;4.8;301.3;;29.1;896.9;237.2;20.5;144.7
"08 Sep 2025";16.7;9.5;26.7;0;2.3;296.7822766752;6.2;274.9;;25.7;895.5;234;20.22;144.5
"09 Sep 2025";13.2;5.8;20;0;2.6;307.61398452191;5.8;320;;49.6;896.1;288.4;24.91;145.6
"10 Sep 2025";14.3;6.4;23.5;0;2.4;301.06336128281;5.8;305.5;;40.7;897.6;248.4;21.46;145.4
"11 Sep 2025";18.9;8;29.4;0;1.1;246.37326195253;4.7;303;;31.3;898.5;284.9;24.61;145.6
"12 Sep 2025";21.4;15.5;27.4;0;1;203.27518479275;3.9;152.2;;21.2;898.3;134.7;11.63;145.1
"13 Sep 2025";25.5;18.9;33.2;0;2.3;202.91367231388;5.8;226;;7.8;897.1;249.4;21.55;144.7
"14 Sep 2025";25.4;19.9;32.4;0;1.3;92.734677935076;6.1;70.65;;10.3;896.7;242.7;20.97;144.6
"15 Sep 2025";19.9;12;29.1;0;1.4;250.086158218;6;202.4;;29.9;896.8;265.5;22.94;145.2
"16 Sep 2025";20.3;8.7;31.2;0;3.5;182.52372756933;8.6;188;;19.9;896.4;257;22.2;144.7
"17 Sep 2025";24.3;17.7;32.2;0;3.1;174.87432873314;6.9;184.8;;3.5;895.7;267.5;23.11;144.2
"18 Sep 2025";25;19.5;33.2;0;1.6;203.59526234362;6.4;252;;6.6;895.6;233.1;20.14;144.3
"19 Sep 2025";24.8;19.8;29.8;0;3.3;187.10841840587;6.3;189.8;;10.2;896.6;94.9;8.2;144.4
"20 Sep 2025";27.4;19;34.5;0;1.5;137.72353081012;4.2;167.8;;6.4;897.4;194.5;16.1;144.6
"21 Sep 2025";25.8;18.3;31.7;0;2.9;198.46860739527;8.2;180.8;;15.7;896.2;150.6;12.47;144.6
"22 Sep 2025";22;17.7;28.6;0;1.4;244.34809332472;4.4;299.5;;18.3;896.5;169.9;14.68;144.6
"23 Sep 2025";19.8;11.8;27.5;0;1.3;264.85795098394;4.6;278;;21.5;898.5;259.6;22.43;144.6
"24 Sep 2025";19.8;8.9;29.7;0;1;206.76685505808;4.5;238;;25;898.5;288.7;24.95;144.8
"25 Sep 2025";23.3;16.7;31.2;0;1.6;89.718097775731;6.7;77.82;;18;896;178.5;15.42;144.8
"26 Sep 2025";15.6;13.5;16.7;0;1.4;313.78601334392;2.2;299.2;;43.2;895;1.5;0.03;144.9
"27 Sep 2025";15.6;9;22.7;0;2.9;310.29395651868;6.4;306;;41.8;895.5;308.1;25.51;145.3
"28 Sep 2025";;;;;;;;;;;;;;
"29 Sep 2025";;;;;;;;;;;;;;
"30 Sep 2025";;;;;;;;;;;;;;
