Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Jun 2017";21.5;13.7;28.6;0;0.4;279.38238411626;3.9;329.6;22.5;20.5;901;197.7;17.08;146.2
"02 Jun 2017";21.2;14.5;28;0;1;296.21850619771;6.2;347.8;22.2;21.1;900.1;187;16.16;146.3
"03 Jun 2017";19.1;12.4;26.9;0;1.7;280.83311361942;6.8;317.5;21.2;26;899.7;199;17.2;146.2
"04 Jun 2017";19.9;12.8;27.1;0;1.2;213.89211998281;4.7;180.9;21.2;25;899.6;198.6;17.16;146.4
"05 Jun 2017";22.2;16;28.8;0;1.5;289.52905723708;6.8;321.3;22;22.3;898.6;194.3;16.79;146.6
"06 Jun 2017";19.1;9.6;28.6;0;2.9;298.06146681986;10.3;323.2;21.6;42.8;897.8;182.4;15.76;150.2
"07 Jun 2017";12.7;6;19.8;0.3;4.3;173.65962398756;8.1;177.8;18.4;62.3;900.7;202.8;17.52;168.7
"08 Jun 2017";16.7;9;25.7;0;1.6;153.72881955923;4;109.7;16.4;8.4;899.1;210.1;18.15;145.5
"09 Jun 2017";21.6;13.9;28.6;0;4.7;336.38330757634;10.4;351.7;18.9;16.1;897.8;187.6;16.2;146
"10 Jun 2017";18.1;12.7;24.4;0;2;289.40183555157;6.5;301.9;20.5;32.6;899.1;187.1;16.17;146.3
"11 Jun 2017";19.5;12.5;26.9;0;1.3;254.60172158957;4.2;303.1;20;27;899.1;192.9;16.66;146.4
"12 Jun 2017";21.1;15.3;28;0;1.4;233.63391068878;4.7;334.9;21.2;24.6;899.1;189.1;16.33;146.5
"13 Jun 2017";21.2;15.2;27.9;0;1.3;224.17164408642;4.3;239.5;21.8;25.2;899;189.7;16.39;146.6
"14 Jun 2017";19.9;13.8;26.9;0;1.9;252.85763933959;5.5;285.8;21.4;27.2;898.4;189.1;16.34;146.6
"15 Jun 2017";19.2;11.5;26.6;0;0.2;234.86000054943;3.4;318.9;20.6;26.5;899.2;194.2;16.78;146.4
"16 Jun 2017";20.8;14.3;27.7;0;1;254.22827073016;5.2;334.1;21;22.7;898.9;191.5;16.55;146.5
"17 Jun 2017";20.7;14.9;27.5;0;1.2;223.48654923371;3.7;240.1;21.4;23.1;898.3;189.2;16.35;146.6
"18 Jun 2017";21.6;16;28.2;0;2;285.90024183207;8;334.3;21.1;23;897;156.2;13.5;146.6
"19 Jun 2017";20.5;15;27.3;0;1.7;261.85418609674;6.7;327.2;21.7;29;898.9;182.5;15.77;146.6
"20 Jun 2017";20.2;14.8;27.5;0;2;214.5413657419;4.3;285.9;21.2;19.6;900.8;188.2;16.26;146
"21 Jun 2017";20.8;15.3;28;0;1.8;216.84916458874;5;227.8;21.1;16.6;900.3;190.4;16.45;145.7
"22 Jun 2017";20.2;14.4;26.9;0;2.2;215.63650013444;4.4;264;20.9;15.9;900.6;191.2;16.52;145.7
"23 Jun 2017";19.4;14.3;26.3;0;0.7;141.70514266218;4;107.7;20.6;16.2;900.9;191.5;16.54;145.7
"24 Jun 2017";20.6;15.3;27.7;0;0.9;205.27301528369;7.1;352.2;20.4;18.4;900;190.2;16.43;146.1
"25 Jun 2017";19.7;13.3;25.7;0;1.2;35.90433952325;7.3;21.57;20.3;20.6;898.3;180.7;15.61;145.8
"26 Jun 2017";20.2;12.4;27.2;0;1.6;283.19337965198;6.2;344.9;20.1;21.1;897.1;169.7;14.66;145.7
"27 Jun 2017";13.7;7.7;20.3;0;5;303.98483631662;11.1;300.1;19.4;59.6;898;186.8;16.14;154.9
"28 Jun 2017";15;4.9;24.2;0;1.1;112.75375028072;6.3;5.35;17.1;39.6;898.9;191.2;16.52;162.1
"29 Jun 2017";20.9;13.3;28.5;0;3.4;341.38416024291;10.2;327.8;19.2;19.2;898.2;178.6;15.43;145.8
"30 Jun 2017";18;10.9;26.1;0;1.8;294.34735504733;6.6;300.6;18.8;29.2;899.9;176.3;15.23;145.9
