Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 Feb 2022";20.8;16.7;26.7;0;3;289.10774112324;5.4;276.7;;68.5;893;277.9;24.01;150
"02 Feb 2022";22;14.8;30.5;0;2.6;286.69768905839;5.9;253.9;;58.2;893.2;340.2;29.39;149.9
"03 Feb 2022";23;16.2;30.1;0;2.2;293.21346201586;4.5;297.2;;48;894.5;324.9;28.07;149
"04 Feb 2022";24.4;17.3;33.3;0.2;1.5;346.7597778318;9.3;17.63;;50.8;894.7;231.2;19.98;150
"05 Feb 2022";25.9;20.9;33.5;0;2;297.76572435514;7.7;279.3;;42.4;895;229.1;19.79;148.9
"06 Feb 2022";24.9;20.8;32;18;0.6;233.35117897594;8.4;137.6;;53;895.6;219.4;18.95;163.2
"07 Feb 2022";25.6;22.4;29.5;4.1;1.7;98.80591161006;5.9;20.19;;56.3;895.5;220.9;19.08;154.3
"08 Feb 2022";25.4;22.8;31.4;0.6;0.2;70.890206248575;7.6;175.5;;59.4;895;218;18.83;151.4
"09 Feb 2022";25.9;21.3;32.5;1.7;0.7;140.32085998246;4.6;135.9;;51.1;894.2;272.2;23.52;150.8
"10 Feb 2022";27.3;21.7;33;0.2;1;134.61276656353;8.7;170.9;;45.3;893.7;302.2;26.11;149.5
"11 Feb 2022";25.6;21.2;30.9;0;1.2;109.07854373748;5.2;119.7;;54.5;894.1;149.1;12.88;150
"12 Feb 2022";26.5;22.9;32.2;0;0.2;204.71654665326;9.8;169.7;;50;893.8;285;24.63;149.6
"13 Feb 2022";25.8;22.8;31;0.2;0.7;151.51664858525;6;184.9;;54.2;894.1;204.9;17.7;149.7
"14 Feb 2022";24.9;20.7;30.3;0;0.4;191.98182181194;8.5;256.6;;55.5;894.5;198.4;17.14;149.7
"15 Feb 2022";23.8;19.9;28.6;0.3;0.4;284.45877351123;8;329.8;;69;896.6;137.4;11.87;151.9
"16 Feb 2022";24.9;21.6;28.3;0.4;1.4;105.91615520532;4.7;3.55;;58.8;896;96.2;8.31;153.2
"17 Feb 2022";28.7;24.3;34.1;0;2.5;109.82758448602;8.6;177.5;;42.2;893.4;300.7;25.98;149.6
"18 Feb 2022";27.4;23.2;34.5;0.5;0.3;85.317618918387;9.5;2.64;;45.1;893.6;286.5;24.75;151
"19 Feb 2022";26.2;21.1;33.1;14.3;0.9;155.78499075575;8.5;134.3;;52.9;894.4;255.2;22.04;153.3
"20 Feb 2022";26.8;21.3;33.8;0;0.9;200.79746555939;5.5;238.7;;52.8;894.6;277.6;23.98;149.6
"21 Feb 2022";29.2;23.7;35.1;0;1.7;157.31094674773;7.8;184.6;;34;894.8;285.6;24.67;148.9
"22 Feb 2022";29.5;23.8;35.4;0;2.3;198.68242096563;8;228.9;;22.3;894.8;318.8;27.54;148.3
"23 Feb 2022";28.7;22.6;35.8;0;3.1;186.65041176166;6.1;195.1;;20.7;895.5;320.8;27.71;147.9
"24 Feb 2022";28.2;18.3;36.6;0;3;180.73066818473;7.8;183.3;;15.8;895.4;333.7;28.83;147.2
"25 Feb 2022";28;20.9;35.5;0;2.1;228.01746687369;6.1;241.4;;14.5;894.6;326.4;28.2;147.1
"26 Feb 2022";24;14.2;32.2;0;3.1;304.72927891206;5.8;325.4;;17;894.1;333.9;28.85;146.4
"27 Feb 2022";23.4;15.1;32;0;2.3;294.86645891104;6.5;317.5;;26.6;894.6;320.6;27.7;147
"28 Feb 2022";23.6;13.7;31.8;0;1.8;275.18525575579;5.6;322.7;;32.1;894.8;320.5;27.69;147.5
