Date;"Air temp.  (avg)";"Air  temp.  (min)";Airtemp.(max);Precip.(total);"Wind speed  (vc avg)";"Wind  direction  (vc avg)";"Wind  speed (max)";"Wind Dir.(Max wind speed)";"Surface  temp. (avg)";"Humidity  (avg) ";Barom.Press.(avg);"Solar Irradiance  (avg)";"Solar  Irradiance  (sum)";"Leaf Wetness  (avg)"
"01 May 2022";24;16.9;30.5;0;2.5;61.017152855612;9.7;35.76;;18;899.5;231.9;20.03;146.7
"02 May 2022";26.4;22.3;31.5;0;0.7;155.75298677796;4.4;188.1;;19.7;899.5;222.7;19.24;146.8
"03 May 2022";25.4;18.7;31.7;0;1.6;176.31216654591;4.6;169.4;;23.6;899.8;223.7;19.33;147
"04 May 2022";24.8;19.3;29.6;0;1.4;93.305417196212;5.5;61.42;;19.7;900.8;223.5;19.31;146.8
"05 May 2022";24;18.1;29.6;0;0.2;105.06358402513;6.3;22.87;;20.2;900.6;224.5;19.4;146.9
"06 May 2022";21.9;16;27.9;0;2;236.53569462853;5.2;213.6;;22.3;898.2;224.5;19.4;146.7
"07 May 2022";17.6;11;23.7;0;1.7;246.69538021948;5.6;284.9;;24.2;896.7;226.1;19.54;146.1
"08 May 2022";17.5;10;25.7;0;1.3;111.99868468274;4;123.9;;25.6;897.3;231.6;20.01;146.1
"09 May 2022";21.5;11.8;29.3;0;1.5;264.60542241965;4.8;290.9;;17.8;897.8;224.5;19.39;146.3
"10 May 2022";22.6;16.7;29.7;0;1.8;219.48448680119;4.5;220;;21;898;219.1;18.93;146.6
"11 May 2022";22.4;16.6;28.7;0;1.6;234.54411414904;4.5;224.9;;21.3;897.6;214.6;18.54;146.7
"12 May 2022";20.4;13.3;27.7;0;1.5;259.33329285946;4.6;299.2;;19.3;898.3;220.9;19.08;146.3
"13 May 2022";19.5;12.8;27.1;0;1.6;262.42016906785;4.7;310.6;;11;898.4;218;18.83;145.8
"14 May 2022";20.5;12;28;0;1;260.87172763979;3.5;301.5;;13.8;898.7;213.3;18.43;145.9
"15 May 2022";24;17.5;30.6;0;1.1;54.280293211474;9.2;32.48;;14.7;899.2;211.1;18.24;146.2
"16 May 2022";26;21.9;30.6;0;2.4;9.3454569995856;6.9;28.99;;14.7;899.8;200.9;17.36;146.3
"17 May 2022";24.6;20.9;29;0;3.5;17.202518917176;6.5;21.58;;18;899.3;205.6;17.76;146.5
"18 May 2022";22.7;18;27.7;0;1.9;317.70486513423;6.5;339.8;;24.2;896.7;160.2;13.84;146.6
"19 May 2022";17.4;10.3;20.5;0.1;2.3;273.85473898011;5.5;289.2;;45;895.7;115.2;9.95;147.6
"20 May 2022";6.2;4.2;9.5;0;3;187.75713278708;5.2;188.8;;83.1;897;6.4;0.18;155.4
"21 May 2022";;;;;;;;;;;;;;
"22 May 2022";;;;;;;;;;;;;;
"23 May 2022";;;;;;;;;;;;;;
"24 May 2022";;;;;;;;;;;;;;
"25 May 2022";;;;;;;;;;;;;;
"30 May 2022";;;;;;;;;;;;;;
"31 May 2022";;;;;;;;;;;;;;
